task_id,model_variant,runner_model,plan_d_mode,plan_i_mode,plan_d_log,plan_i_log,plan_d_line,plan_i_line,plan_d_excerpt,plan_i_excerpt,missing_plan_type,plan_similarity,divergence_type,similarity_reason,aligned_steps,divergent_steps,provenance_note
tasks-mini-kramabench/k-2-d-1-s-1/task_1.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log,,32,,"1) download/execute_ideal: load the CSV file worldcities.csv using execute_ideal. 2) execute_ideal: coerce 'population' to numeric, drop missing/NaN values. 3) execute_ideal: group by 'country' and compute mean population and count of cities per country. 4) execute_ideal: identify the country with the highest mean population and print its name and mean va...",missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log line 32"
tasks-mini-kramabench/k-2-d-1-s-1/task_10.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log,,26,,1) peek_file (peek_file) on the CSV s3_uri to confirm columns and sample rows. 2) execute_ideal (execute_ideal) on the CSV s3_uri to filter rows where State == 'Alabama' and sum the identity theft report count column. 3) submit_answer with the summed total and brief reasoning.,missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log line 26"
tasks-mini-kramabench/k-2-d-1-s-1/task_11.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log,,,,,missing_both,not_comparable,missing_both,Neither paired log has the required explicit planning call: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log ; /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log,,missing_both,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log line None"
tasks-mini-kramabench/k-2-d-1-s-1/task_12.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log,,29,,"1) peek_file on the CSV to inspect columns and confirm structure (peek_file). 2) download the CSV (download). 3) execute_ideal: load CSV, group by state, sort categories by report count for each state, select states where top category == 'Identity Theft', print the list. 4) submit_answer with result.",missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log line 29"
tasks-mini-kramabench/k-2-d-1-s-1/task_13.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log,,,,,missing_both,not_comparable,missing_both,Neither paired log has the required explicit planning call: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log ; /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log,,missing_both,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log line None"
tasks-mini-kramabench/k-2-d-1-s-1/task_14.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log,,26,,1) peek_file the identified CSV file (2024_CSN_Data_Contributors.csv) to see columns and sample rows. 2) use execute_ideal to load the CSV and filter rows where 'Data Contributor' or similar equals 'FTC Web Reports (Fraud & Other)' and year is 2022-2024. 3) Sum the 'Count' or equivalent column across years 2022-2024 for that contributor. 4) submit_answer ...,missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log line 26"
tasks-mini-kramabench/k-2-d-1-s-1/task_15.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log,,27,,"1) peek_file on the CSV to inspect headers and sample rows. 2) download the CSV. 3) execute_ideal: read CSV, clean 'Total $ Loss' into numeric millions if necessary, sum values, print sum as integer millions. Use execute_ideal for tabular computation.",missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log line 27"
tasks-mini-kramabench/k-2-d-1-s-1/task_16.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log,,26,,1) peek_file to inspect the CSV for headers and sample rows (peek_file). 2) download the CSV (download). 3) execute_ideal Python to sum helicopter requests by NICC geographic area and find the max (execute_ideal). 4) submit_answer with the region name (submit_answer).,missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log line 26"
tasks-mini-kramabench/k-2-d-1-s-1/task_2.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log,,26,,"1) peek_file on s3 URI to inspect columns and sample rows (functions.peek_file). 2) download the CSV (functions.download). 3) execute_ideal Python code to load CSV, filter rows where country == 'Greece', parse 'rank' field converting 'x or y' to numeric averages, compute mean of ranks, round to 4 decimals, and print the result. 4) submit_answer with final...",missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log line 26"
tasks-mini-kramabench/k-2-d-1-s-1/task_3.log,openai_gpt-5-mini,gpt-5-mini,search_d_results_i_pland_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log,,26,,"1) peek_file roman_cities.csv to confirm columns and preview rows (use peek_file). 2) download the file (download). 3) execute_ideal Python: load CSV, filter rows with non-empty bibliography, split bibliography strings on semicolons, normalize spacing/punctuation, strip page ranges, create set of unique references, count them, and print count. 4) submit_a...",missing_plan_d,not_comparable,missing_plan_d,No explicit plan() call was found in default-plan log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log,,missing_plan_d,"model_variant=openai_gpt-5-mini from log path; runner_model=gpt-5-mini from NEW TASK in plan_d_log and plan_i_log; evidence: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_d_results_i_pland_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log line None, /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log line 26"
