benchmark,model_variant,mode_label,mode,trajectory_alignment,n,fraction_all,pct_all,fraction_comparable,pct_comparable
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,4,4/83,4.8,4/83,4.8
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,followed,33,33/83,39.8,33/83,39.8
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,8,8/83,9.6,8/83,9.6
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,25,25/83,30.1,25/83,30.1
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,13,13/83,15.7,13/83,15.7
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,followed,47,47/83,56.6,47/83,56.6
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,23,23/83,27.7,23/83,27.7
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,8,8/83,9.6,8/83,9.6
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,followed,31,31/83,37.3,31/83,37.3
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,10,10/83,12.0,10/83,12.0
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,26,26/83,31.3,26/83,31.3
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,followed,38,38/83,45.8,38/83,45.8
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,16,16/83,19.3,16/83,19.3
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,12,12/83,14.5,12/83,14.5
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,followed,37,37/83,44.6,37/83,44.6
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,30,30/83,36.1,30/83,36.1
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,followed,31,31/83,37.3,31/83,37.3
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,14,14/83,16.9,14/83,16.9
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,20,20/83,24.1,20/83,24.1
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,13,13/83,15.7,13/83,15.7
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/135,4.4,6/134,4.5
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,followed,20,20/135,14.8,20/134,14.9
