task_id,log_error_bucket,estimated_wasted_turns,turn_waste_global_group,turn_waste_global_subtype,turn_waste_summary,turn_repeated_behavior,turn_progress_stop_point,wasted_turn_ranges,productive_turn_ranges,turn_budget_failure_reason,turn_waste_evidence,turn_waste_global_group_reason,turn_waste_global_subtype_reason,turn_waste_local_group,turn_waste_local_group_reason
tasks_mini/k-4-d-4/task_4.json,error_tokens_reached,2,endgame overshoot,late-stage answer overshoot,"Narrowed the Providence hospital-property target across the 2015-2018 rolls, then searched for the benefactor and name origin.",Late turns repeated near-duplicate searches for the same Rhode Island hospital naming clue.,"It had identified the candidate parcel and hospital owners, but never got to the benefactor's identity or grandfather lookup.",28-29,1-27,A final prefix search hit the timeout warning and the run crashed before submit_answer.,Turns 22-26 confirm the 101 Dudley St / RI Hospital parcel across 2015-2018.; Turn 28 retries hospital-name prefix searches and gets the timeout warning.; Turn 29 is the max-tokens crash.,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",The parcel and owner chain was identified and the final prefix search was only one last validation turn.,Final-Query Overshoots,"The parcel and owner chain was already identified, and the final prefix search was just one last validation turn before timeout."
tasks_mini/k-2-d-3/task_2.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Searched for the 18th-largest state by area, then looked for a federal contracts source that could be filtered down to community colleges and FY 2014-2016 counts.",Kept broadening from state-area lookup into multiple contract datasets before getting to the final query.,"Had the state-area path and the likely contracts dataset, then the last query timed out before a final number could be submitted.",18,1-17,"The run spent most of its budget discovering and validating sources, then hit timeout on the final contract-count query.",Turn 13 finds the states-by-area source and Turn 15/17 inspect agency contract files; Turn 18 query_file is canceled by timeout before submit_answer,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",The core county/source work was done; the last turn was only a final contract-count validation that timed out.,Final-Query Overshoots,"The state-area and contract-source work was basically done; only the final contract-count query was left, and that last validation turn timed out."
tasks_mini/k-2-d-3/task_9.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Used Washington school-report-card data to find counties with low-income enrollment in range across years, then tried to finish with a final assessment query.",Kept checking the same multi-year county intersection before the last timed-out assessment lookup.,The county intersection was computed and the final answer was submitted after a timeout warning.,18,1-17,"The final supporting query timed out, so the agent fell back to a best-estimate submission.",Turn 18 execute_code times out while scanning the Texas county files; Turn 19 submits the best estimate immediately after the timeout,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The county intersection was already computed, and only a final support query timed out.",Final-Query Overshoots,The county intersection was already computed; the final support query timed out and the agent submitted the best estimate immediately after.
tasks_mini/k-2-d-4/task_1.json,error_tools_limit,1,endgame overshoot,late-stage answer overshoot,"Compared New York bridge, fire department, renewable capacity, and violent-crime datasets to choose the higher county.",Kept adding one more supporting dataset after the county candidate set was already established.,The bridge/fire/crime comparison was complete; the last extra search hit the tool cap.,39,1-38,"The answer was already effectively determined, but the agent used the last tool slot on an extra ATM search and hit the tool limit.",Turn 38 already has the fire-department counts needed for the candidate counties; Turn 39 triggers the tool-limit warning before submit_answer,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",The candidate counties were already established and the final turn was just one extra search before the cap.,Final-Query Overshoots,"The bridge/fire/crime comparison had already established the candidate counties, and the last turn was just one extra search before the tool cap."
tasks_mini/k-2-d-4/task_8.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Narrowed South Texas counties with TDCJ receives data and Wikipedia county-seat checks, then answered with the seat city.",Kept refining the same South Texas county path and then spent one last turn on a follow-up assessment query.,"The South Texas county was identified as Bexar, and the final answer was submitted after a timeout warning.",24,1-23,"The final validation query timed out after the county path was already clear, so the agent fell back to the seat city.",Turn 24 is the final assessment-data query and it times out; Turn 25 immediately submits [San Antonio],"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The South Texas path was already clear, and the last validation query timed out right before submission.",Final-Query Overshoots,"The South Texas county path was already clear, and the last validation query timed out right before the answer was submitted."
tasks_mini/k-2-d-4/task_9.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,Computed the multi-year county intersection from Washington report-card enrollment data and then tried to finish with a final math-performance query.,Kept confirming the same county intersection across multiple school-year files before the last query timed out.,The county set was already narrowed to four counties when the final SBAC math query timed out.,25,1-24,The agent had the intersection but lost the last turn on a support query that timed out before final submission.,Turn 24 is the final SBAC Math query and it times out; Turn 25 submits the best-answer list right after the timeout,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The county set was narrowed already, and the last SBAC math lookup was only a final support query.",Final-Query Overshoots,"The county set was narrowed already, and the last SBAC math lookup was just a final support query that timed out."
tasks_mini/k-3-d-4/task_1.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,Tracked DC crime wards across years and then searched Maryland county-income data for the comparison step.,Kept working the DC crime-data route until the tool timeout cut off the query.,Turn 35 timed out while a query-data call was running.,35,1-34,The final query ran into the tool timeout before the agent could stop and submit.,Turn 35 shows `Tool call cancelled. Timeout reached` on `skills(query-data)`.; The crash follows immediately after that timeout warning.,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",The comparison work was nearly complete and the final query simply timed out.,Final-Query Overshoots,"The DC crime and income work was nearly complete, and the final query simply timed out before submission."
tasks_mini/k-3-d-4/task_8.json,error_tools_limit,1,endgame overshoot,late-stage answer overshoot,"Computed the Texas capital-outlay counties, compared TDCJ release averages, and then moved to the VA disability-count step.",The last step repeated the same VA county peek after the tool-limit warning.,"It had the top-two candidate counties from the release averages, but could not fetch the VA count files.",24,1-23,The final VA dataset peeks were blocked by the tool cap before the percentage increase could be computed.,Turns 22-23 locate the FY2020 and FY2023 VA disability compensation datasets and their files.; Turn 24's peek_file calls are both cancelled by the tool limit.,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",The candidate counties were known and the last VA peek was just one more final check before cutoff.,Final-Query Overshoots,"The candidate counties were known, but the final VA dataset peek was cut off by the tool cap."
tasks_mini/k-4-d-4/task_1.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Built a plan, found the NYC School Progress Report datasets, and computed the yearly elementary-school Environment top-5 lists.",No sustained repetition; it mainly got through the four yearly pulls before the crash.,"After the yearly top-5 lists were gathered, it still needed the Bedford NTA match and the final School Day lookup.",9,1-8,The agent crashed on max tokens before it could synthesize the year lists into the final answer.,Turns 7-8 gather the 2006-07 through 2009-10 elementary Environment top-5 results.; Turn 9 ends in MaxTokensReachedException.,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",The yearly top-5 lists were already gathered and the run crashed on the final synthesis step.,Final-Query Overshoots,"The year lists were already gathered; the last missing step was only the synthesis, and the run crashed on max tokens."
tasks_mini/k-4-d-4/task_3.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Found WA contractor-count datasets, computed contractor rankings for 2018-2020, and checked NY active construction projects.",No sustained repetition; the final discovery/search turn was the main low-yield tail before crash.,"It had the contractor counts and the active-projects dataset, but still needed the firm/city/history chain to finish.",18,1-17,The last turn was consumed by tool-limit cancellations and the run crashed before a final answer.,Turns 13-16 compute contractor and project counts from the WA and NY datasets.; Turn 17 is the last useful discovery pass.; Turn 18 is a tool-limit/crash turn with no new retrieval.,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",The contractor counts were established and the final discovery turn was just a low-yield extra check.,Final-Query Overshoots,"Local inference from the row summary: the contractor/project counts were already established, and the final discovery turn was a single low-yield tail before the crash."
