path,impact,node_id,field,copy_value,tasks_mini_value,peek
k-1-d-1/task_1.json,major,1,subquestion,"For each year from 2016 through 2023, compute a growth-amplified overdose burden score as annual drug overdose deaths across all U.S. states multiplied by (1 + year-over-year growth rate). Which year has the highest score?","For each year from 2016 through 2023, compute a growth-amplified overdose burden score: annual drug overdose deaths across all U.S. states multiplied by (1 + year-over-year growth rate).",
k-1-d-1/task_1.json,major,1,fact,see diff,see diff,"@@ -2,19 +2,19 @@
-df = pd.read_csv(""datagov/vsrr-provisional-drug-overdose-death-counts/files/rows.txt"", sep=None, engine=""python"")
-df[""Year""] = pd.to_numeric(df[""Year""], errors=""coerce"")
-df[""Data Value""] = pd.to_numeric(df[""Data Value""], errors=""coerce"")
+df = pd.read_csv('datagov/vsrr-provisional-drug-overdose-death-counts/files/rows.txt', low_memory=False)
+df['Year'] = pd.to_numeric(df['Year'], errors='coerce')
+df['Data Value'] = pd.to_numeric(df['Data Value'], errors='coerce')"
k-1-d-1/task_2.json,major,1,subquestion,"For each year from 2005 through 2010, define Bonus Volatility-Adjusted Level (BVAL) as the draws' average New York Lotto bonus ball number plus half of the standard deviation of bonus ball numbers. Which year has the highest BVAL? If there is a tie, choose the earlier year.","For each year from 2005 through 2010, compute BVAL (Bonus Volatility-Adjusted Level) as the draws' average bonus ball number plus half of the standard deviation of bonus ball numbers. Which year has the highest BVAL? If there is a tie, choose the earlier year.",
k-1-d-1/task_2.json,major,1,fact,see diff,see diff,"@@ -2,18 +2,11 @@
-df = pd.read_csv(""datagov/lottery-ny-lotto-winning-numbers-beginning-2001/files/rows.txt"", sep=None, engine=""python"")
-df[""Draw Date""] = pd.to_datetime(df[""Draw Date""], errors=""coerce"")
-df[""Bonus #""] = pd.to_numeric(df[""Bonus #""], errors=""coerce"")
-df[""Year""] = df[""Draw Date""].dt.year
+df = pd.read_csv('datagov/lottery-ny-lotto-winning-numbers-beginning-2001/files/rows.txt')
+df['Draw Date'] = pd.to_datetime(df['Draw Date'], errors='coerce')"
k-1-d-1/task_3.json,major,1,subquestion,"Define a yearly Passenger Instability-Adjusted Load (PIAL) as annual total CTA bus passengers across all routes multiplied by (1 + absolute year-over-year percentage change in that annual total). For years 2006 through 2010, which year has the lowest PIAL? If there is a tie, choose the earlier year.","For each year from 2006 through 2010, compute PIAL (Passenger Instability-Adjusted Load) as annual total CTA bus passengers across all routes times (1 + absolute year-over-year percentage change in that annual total). Which year has the lowest PIAL?",
k-1-d-1/task_3.json,major,1,fact,see diff,see diff,"@@ -2,13 +2,12 @@
-df = pd.read_csv(""datagov/cta-ridership-bus-routes-monthly-day-type-averages-totals/files/rows.txt"", sep=None, engine=""python"")
-df[""Month_Beginning""] = pd.to_datetime(df[""Month_Beginning""], errors=""coerce"")
-df[""MonthTotal""] = pd.to_numeric(df[""MonthTotal""], errors=""coerce"")
-df[""Year""] = df[""Month_Beginning""].dt.year
+df = pd.read_csv('datagov/cta-ridership-bus-routes-monthly-day-type-averages-totals/files/rows.txt')
+df['Month_Beginning'] = pd.to_datetime(df['Month_Beginning'], errors='coerce')"
k-2-d-3/task_1.json,major,1,source,datagov/apd-searches-by-type/files/rows.txt,datagov/nopd-use-of-force-incidents/files/rows.txt,
k-2-d-3/task_1.json,major,1,subquestion,"In 2022, which APD patrol sector had the most searches due to illegal items in plain view?","In 2022, what is the highest number of incidents where an officer applies weapon across any NOPD divisions?",
k-2-d-3/task_1.json,major,1,answer,Edward,92,
k-2-d-3/task_1.json,major,1,fact,see diff,see diff,"@@ -3,16 +3,11 @@
+from botocore import UNSIGNED
+from botocore.config import Config
-source = ""datagov/apd-searches-by-type/files/rows.txt""
+source = ""datagov/nopd-use-of-force-incidents/files/rows.txt""
-obj = boto3.client(""s3"").get_object(Bucket=bucket, Key=source)
+obj = boto3.client(""s3"", config=Config(signature_version=UNSIGNED)).get_object(Bucket=bucket, Key=source)"
