task_id,model_variant,runner_model,plan_d_mode,plan_i_mode,plan_d_log,plan_i_log,plan_d_line,plan_i_line,plan_d_excerpt,plan_i_excerpt,missing_plan_type,plan_similarity,divergence_type,similarity_reason,aligned_steps,divergent_steps,provenance_note
tasks-mini-kramabench/k-2-d-1-s-1/task_1.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log,26,26,"1) Inspect worldcities.csv schema (country, city, population). 2) Compute per-country mean of city populations (handle missing/zero). 3) Find country with maximum average. 4) Return [country].",1) Use query on worldcities.csv to count rows with non-missing population by country. 2) Compute mean population per country. 3) Select country with highest mean population. 4) Return that country name only as [ANSWER].,,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log:26; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_1.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_10.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log,26,26,"1) Use peek_file on the 2024 identity theft CSV to confirm columns (state, identity theft reports, etc.). 2) Download the CSV. 3) execute_code to filter rows where State=Alabama and Year=2024 (or just use the 2024 file) and sum identity theft reports. 4) Print the total and subm…",1) Load the 2024 CSN State Identity Theft Reports CSV for totals by report count. 2) Inspect column names to find Alabama filter and report-count field. 3) Filter rows where State = Alabama and year = 2024. 4) Sum the report counts across all identity theft categories for Alabam…,,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log:26; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_10.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_11.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log,26,26,1) Inspect the CSN fraud report CSV schema. 2) Identify columns for branch of service and Median Fraud Loss and the year filter (2024). 3) Compute median fraud loss by branch and take the maximum. 4) Return the branch with the largest median fraud loss.,"1) Use the 2024 CSN fraud/identity theft CSV and locate the military branch table fields. 2) Clean each ""Median Fraud Loss"" value (strip $/commas and convert to numeric). 3) Identify the branch with the maximum cleaned median fraud loss. 4) Return that branch name as [ANSWER].",,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log:26; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_11.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_12.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log,26,26,"1) Inspect the top-ten report categories CSV schema. 2) Compute states where the top (rank 1) category equals ""Identity Theft"". 3) Return the list of those states as [ANSWER].",1) Load the CSV of 2024 state top ten report categories. 2) Clean/standardize category strings. 3) Group by state and determine the top (rank 1) category. 4) Filter states where top category == 'Identity Theft'. 5) Output the state names list.,,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log:26; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_12.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_13.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log,26,26,1) Use search_ideal to find CSV(s) containing Identity Theft reports by year. 2) Peek the CSV schema to confirm year and identity theft fields. 3) Download the full file(s) for required years (2001 and 2024) or a multi-year file. 4) Compute ratio = reports_2024 / reports_2001. 5…,1) Find the “reports-by-type” table(s) containing identity theft counts for 2001 and 2024. 2) Extract identity theft counts for 2001 and 2024. 3) Compute ratio = count_2024 / count_2001. 4) Round ratio to 4 decimal places. 5) Submit the ratio as [ANSWER].,,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log:26; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_13.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_14.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log,54,12,1) Search for FTC datasets about 'fraud reports' with media='web' or channel='Online' covering years 2022-2024. (search_ideal) 2) Inspect the most relevant dataset files/schemas to identify the measure and year fields. (peek_file) 3) Download needed data files for 2022-2024 (or …,1) Search for the FTC Web Reports (Fraud & Other) contributor dataset covering 2022-2024. 2) Inspect dataset schema (peek/query LIMIT 1) to confirm count field and year field. 3) Filter to FTC Web Reports (Fraud & Other) and years 2022-2024. 4) Sum yearly totals across 2022-2024…,,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log:54; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_14.log:12
tasks-mini-kramabench/k-2-d-1-s-1/task_15.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log,26,26,1) Inspect the fraud-by-payment-method CSV schema. 2) Compute total money lost to fraud across all payment methods (sum of money-lost field). 3) Convert to millions of dollars and round to nearest integer. 4) Return as [ANSWER].,"1) Peek the CSV to confirm column names for payment method and ""Total $ Loss"". 2) Use SQL (query_file/execute_ideal) to sum all payment-method rows' Total $ Loss. 3) Convert the sum to millions (as integer) using the dataset’s numeric format. 4) Submit the integer-million result…",,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log:26; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_15.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_16.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log,12,26,"1) Search for NICC-defined geographic areas helicopter firefighting requests (likely spreadsheet/CSV). 2) Inspect schema to identify fields: geographic area, helicopter count/request. 3) Load data across all years/files if needed. 4) Aggregate total helicopters per geographic ar…",1) Inspect the dataset schema for helicopter requests by NICC geographic area. 2) Identify the 10 NICC-defined geographic areas included. 3) Aggregate/sort by request count for firefighting. 4) Pick the maximum-request area. 5) Return the region name.,,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log:12; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_16.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_2.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log,12,26,"1) Search for dataset containing city ranks and Greece indicator. 2) Inspect relevant file schema (columns for country, city, rank; handle rank fields with 'or'). 3) Download/compute: filter rows where country is Greece; compute numeric rank per row (parse 'or' average). 4) Comp…","1) Inspect roman_cities.csv columns with peek_file. 2) Filter rows where country = Greece. 3) Parse the Greek rank field(s), handling values with 'or' by averaging the two numeric ranks. 4) Convert all Greek rank values to numbers and compute mean. 5) Round to 4 decimals and sub…",,similar,none,"Both plans preserve the same answer-producing strategy: inspect or locate the relevant file, apply the same filters/calculation, and return the same final value/entity.","[""same source family"", ""same computation objective"", ""same requested final answer""]",[],model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log:12; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_2.log:26
tasks-mini-kramabench/k-2-d-1-s-1/task_3.log,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log,26,26,1) Inspect roman_cities.csv schema to find column for source/provider. 2) Download file. 3) execute_code: count unique values in that source column across all rows. 4) submit_answer with count.,"1) Inspect roman_cities.csv to find the bibliography column. 2) Use query to filter rows with non-empty bibliography. 3) Split bibliography strings on semicolons, normalize punctuation/page suffixes. 4) Count unique normalized sources and return the number.",,operation_mismatch,source_parsing_mismatch,"Default counts unique raw source/provider values, while the ideal splits and normalizes bibliography entries before counting unique sources.","[""same broad dataset family"", ""same broad final objective""]","[""source parsing mismatch""]",model_variant from log-kramabench/modes path is openai_gpt-5.4-nano; helper extracted runner_model=gpt-5.4-nano from NEW TASK lines; plan_d /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log:26; plan_i /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/log-kramabench/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks-mini-kramabench/k-2-d-1-s-1/task_3.log:26
