task_id,log_error_bucket,estimated_wasted_turns,turn_waste_local_group,turn_waste_summary,turn_repeated_behavior,turn_progress_stop_point,wasted_turn_ranges,productive_turn_ranges,turn_budget_failure_reason,turn_waste_evidence,turn_waste_local_group_reason
tasks_mini/k-2-d-3/task_8.json,error_tokens_reached,12,late_candidate_rechecks,"The agent gathered top physical-branch circulation and visitor rankings for 2019-2021, which was enough to intersect the branch sets, but it got stuck validating edge cases around Harold Washington and null addresses.","It kept checking Harold Washington rows, null-address totals, and whole-dataset sums after the needed top-five rankings were already collected.","By turn 19 it had queried the top-five circulation and visitor lists for all six yearly datasets, but it never moved to the final intersection and submission.",20-31,1-19,The remaining budget was spent on validation tangents about special rows and dataset totals rather than intersecting the already-collected rankings.,"Turn 19 queries 2021 visitors top branches, completing the six yearly ranking pulls needed for the set intersection.; Turn 20 greps for Harold and turns 21-31 pivot into null-address counts, total-YTD sums, and raw row lookups.; Turn 31 hits the tool limit while still querying dataset totals instead of submitting the branch intersection.",It kept checking Harold Washington rows and dataset totals after the relevant rankings were already collected.
tasks_mini/k-3-d-3/task_10.json,error_tokens_reached,6,late_candidate_rechecks,"The agent gathered the yearly top rankings for circulation, visitors, and computer sessions across 2019-2021, enough to isolate Sulzer Regional Library, but then it spiraled into address/null and total-sum validation.","It kept checking address completeness, null rows, and aggregate totals after the ranking lists needed for the intersection were already collected.","By turn 17 the three-year circulation, visitor, and computer-session ranking pulls were complete, but the run never converted them into the final branch intersection.",18-23,1-17,"The remaining turns were consumed by validation tangents, and the agent kept issuing more aggregate queries after repeated tool-limit warnings.","Turn 17 finishes the 2021 circulation, visitors, and computer-sessions ranking pulls, completing the data collection needed for the intersection.; Turns 18-22 switch to top-10, address, and null-row checks instead of intersecting the already-returned sets.; Turn 23 fires five more aggregate queries after the tool-limit warning, all cancelled.",It kept checking address totals and null rows after the needed ranking lists were already collected.
tasks_mini/k-2-d-3/task_1.json,error_tokens_reached,5,late_candidate_rechecks,"The agent found Charlie as the top APD search sector, counted sector-Charlie CAD incidents, and queried Austin use-of-force by council district, but then drifted into redundant validation.",Reopened APD CAD/search files and reran variant counts after the key sector and district totals were already in hand.,"It had the three comparison quantities essentially assembled by turn 12, before it started rechecking file names, sector counts, and distinct-case variants instead of submitting.",13-17,1-12,"The final turns were spent on redundant APD file inspections and variant queries, and the agent even called another tool after a stop-and-submit warning.","Turn 12 queries 2022 APD use-of-force by council district, which is the last missing comparison piece.; Turn 14 reruns APD search counts without the earlier exclusion framing, and turn 15 switches to distinct-case counting instead of using the incident count already asked for.; Turn 17 calls download on APD CAD after the timeout warning told it to submit immediately.","The agent already had the sector and district totals, then reopened APD files and reran variants instead of submitting."
tasks_mini/k-3-d-4/task_3.json,error_tokens_reached,5,late_candidate_rechecks,"Identified the District 3 elementary school that stayed top-3 in performance, mapped it to the Upper West Side, and located the American Museum of Natural History as the adjacent Central Park museum.","After reading the museum intro with the build/open date, it kept rechecking school columns, overall-score rankings, and location details instead of submitting.","By turn 21 it had the neighborhood, the museum, and the line stating the museum's first purpose-built structure opened in 1877.",22-26,1-21,The agent had already reached the museum-year evidence but spent the final budget on extra verification branches unrelated to the asked build year.,"Turn 16 re-runs top-3 school queries across 2006-2010 and confirms the candidate school.; Turn 21 reads the AMNH intro stating the first purpose-built structure opened on December 22, 1877.; Turn 24 switches to overall-score ranking, and turn 26 asks for the school's OPEN_DATE rather than the museum year.","After the museum year evidence was found, it spent the tail rechecking school columns, rankings, and location details."
tasks_mini/k-4-d-4/task_8.json,error_tokens_reached,5,late_candidate_rechecks,"Worked out that Transportation ranked third, but drifted from the city and highway chain into spending-average calculations.",Kept rechecking expenditure schema and totals after the agency ranking was already clear.,"Reached the correct agency but never resolved the Southwest district city, highway, or terminus-city comparison.",12; 25-28,1-11; 13-24,"After finding Transportation, the run spent late turns on off-path search and redundant payment-total checks instead of finishing the city lookup.","Turn 12 searched binge drinking for Chicago and Santa Monica before the city and highway had been established.; Turns 15-17 and 20 showed Transportation ranked third in 2007-2010 spending.; Turns 25-27 kept inspecting Transportation payment fields and types after the totals were already known.; Turn 28 hit the timeout warning, and turn 29 submitted [1977205015.21], a number rather than a city.",It kept checking totals and schema after the agency ranking was already clear.
tasks_mini/k-4-d-4/task_1.json,error_tokens_reached,3,late_candidate_rechecks,"Compared top environment-category schools across 2006-2010, narrowed the Bedford-area candidate to P.S. 380 John Wayne Elementary, and read the school page containing the dedication date.","It repeated the exact initial search once and, after finding the dedication date, reran top-5 environment queries and a 2006 row lookup instead of submitting.","By turn 14 it had the Bedford-area school and the line 'Dedicated ... October 28, 1982,' which was enough to format 10/28.",2; 15-16,1; 3-14,Duplicate search and post-answer verification used the remaining budget instead of turning the already-found dedication date into the required MM/DD answer.,"Turn 2 repeats the same search_ideal query from turn 1.; Turn 14 reads John Wayne Elementary School and gets 'Dedicated in honor of John Wayne on October 28, 1982.'; Turns 15-16 rerun ranking and row checks after the date is already available.",It repeated search and post-answer verification after the dedication date was already found.
tasks_mini/k-3-d-1/task_1.json,error_tokens_reached,2,late_candidate_rechecks,"The agent found Charlie as the 2023 top APD search sector and queried council-district counts within Charlie, but it stalled in extra CAD file inspection before switching to the taser-count and incorporation-year lookups.",It kept poking at alternate CAD files after the Charlie-sector district ranking was already retrieved.,"Once the Charlie district counts were returned, the next needed moves were Austin's founding year and APD use-of-force taser counts, but the run stayed inside CAD file inspection.",11-12,1-10,The last turns were spent re-reading CAD file variants rather than moving to the remaining two data sources needed for the final per-century calculation.,"Turn 9 identifies Charlie as the top sector excluding Unknown.; Turn 10 queries 2023 CAD counts by council district within Charlie, which is the key routing step for the remaining computation.; Turns 11-12 peek CAD data.txt and 22de-7rzg.txt instead of querying APD use-of-force or Austin,_Texas.","After the Charlie-sector ranking was in hand, it kept poking at alternate CAD files."
tasks_mini/k-4-d-4/task_4.json,error_tokens_reached,2,late_candidate_rechecks,"Identified the RI Hospital parcel and benefactor chain, then kept revalidating the same property record.",Repeated hospital tax-roll filters for the same parcel across 2015-2018 after the candidate was already isolated.,"Had 101 Dudley St -> RI Hospital -> Moses Brown -> James Brown, but did not submit.",18-19,1-17,"Once the consistent parcel and benefactor page were in hand, it spent the remaining turns re-querying the same hospital filters.",Turn 11 identified 023-0772-LL01 as RI Hospital at 101 Dudley St with assessment 7052500.; Turn 15 read Moses Brown and surfaced that he was the grandson of James Brown.; Turns 18-19 reran hospital-range filters and returned the same 023-0772-LL01 parcel again.,It re-filtered the same parcel across years after the candidate had already been isolated.
tasks_mini/k-6-d-4/task_10.json,error_tokens_reached,2,late_candidate_rechecks,"Filtered NY counties by bridges, fire departments, ATMs, and renewable capacity, then narrowed the crime comparison to Erie versus Westchester and traced Buffalo to the Holland Land Company.","After finding the land-company source, it kept reopening Buffalo, Erie, and Holland pages to reconfirm the same provenance.","By turn 19 it had Erie as the winning county and 1789 in Holland Land Company context, but it never submitted.",20-21,1-19,Late-turn confirmation of the already-found land-company founding year consumed the remaining budget instead of submitting.,Turn 16 shows Erie with more violent crimes than Westchester in 2021; Turn 19 greps Holland_Land_Company and finds the company in operation between 1789 and 1858; Turn 20 rereads Holland_Land_Company after the founding year is already visible; Turn 21 re-greps Erie County for Holland references instead of submitting,It reopened the same place pages to reconfirm provenance after the land-company source was found.
tasks_mini/k-2-d-4/task_8.json,error_tokens_reached,1,late_candidate_rechecks,"The agent counted qualifying counties for FY2019-2022, formed the four-county intersection, and read Hidalgo County, but then spent its last available turn checking another county instead of submitting Edinburg.",It kept validating alternate candidate counties after the South Texas county was already identified.,"After reading Hidalgo County, Texas, the run had the South Texas county and its seat, but it did not submit before the budget ran out.",15,1-14,The last turn was spent on extra county-page validation after the correct county-seat lookup was already available.,"Turns 9-12 compute the 700-4600 intake counties for FY2019-FY2022, enough to form the intersection {Bexar, Hidalgo, Montgomery, El Paso}.; Turn 14 reads Hidalgo_County,_Texas, the page that provides both the South Texas clue and the county seat Edinburg.; Turn 15 then reads Bexar_County,_Texas instead of submitting.",It validated alternate counties after the correct county-seat path was already visible.
