benchmark,model_variant,mode_label,mode,n_total,n_complete,n_pending,n_comparable,n_not_comparable,n_followed_strict,followed_strict_fraction_all,followed_strict_pct_all,followed_strict_fraction_comparable,followed_strict_pct_comparable,n_followed_or_mostly,followed_or_mostly_fraction_all,followed_or_mostly_pct_all,followed_or_mostly_fraction_comparable,followed_or_mostly_pct_comparable,n_followed,followed_fraction_all,followed_pct_all,n_mostly_followed,mostly_followed_fraction_all,mostly_followed_pct_all,n_partially_followed,partially_followed_fraction_all,partially_followed_pct_all,n_missed_crucial_steps,missed_crucial_steps_fraction_all,missed_crucial_steps_pct_all,n_did_not_follow,did_not_follow_fraction_all,did_not_follow_pct_all,not_comparable_fraction_all,not_comparable_pct_all,n_pending_label,pending_fraction_all
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,83,0,83,83,0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0/83,0.0,83,83/83
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,83,0,83,83,0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0/83,0.0,83,83/83
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,83,0,83,83,0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0/83,0.0,83,83/83
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,83,0,83,83,0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0/83,0.0,83,83/83
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,83,0,83,83,0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0/83,0.0,83,83/83
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,83,0,83,83,0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0,0/83,0.0,0/83,0.0,83,83/83
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,135,1,134,134,1,0,0/135,0.0,0/134,0.0,0,0/135,0.0,0/134,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,1/135,0.7,134,134/135
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,135,0,135,135,0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0/135,0.0,135,135/135
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,135,78,57,135,0,17,17/135,12.6,17/135,12.6,37,37/135,27.4,37/135,27.4,17,17/135,12.6,20,20/135,14.8,20,20/135,14.8,19,19/135,14.1,2,2/135,1.5,0/135,0.0,57,57/135
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,135,0,135,135,0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0/135,0.0,135,135/135
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,135,0,135,135,0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0/135,0.0,135,135/135
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,135,0,135,135,0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0,0/135,0.0,0/135,0.0,135,135/135
