task_id,log_error_bucket,estimated_wasted_turns,turn_waste_local_group,turn_waste_summary,turn_repeated_behavior,turn_progress_stop_point,wasted_turn_ranges,productive_turn_ranges,turn_budget_failure_reason,turn_waste_evidence,turn_waste_local_group_reason
tasks_mini/k-3-d-4/task_1.json,error_tokens_reached,16,Auxiliary evidence chase after narrowing the answer,"Solved the crime-incidents and county-income path up to a best-effort answer, then kept reformulating household-income rank searches until timeout.",Repeatedly searched for the same county income-rank concept with slightly different wording after the relevant county was already identified.,Turn 30 timed out on another income-rank search; turn 31 submitted the best-effort answer.,15-30,4-14,The run spent the late budget on near-duplicate income-rank searches instead of accepting the partial county result and submitting sooner.,"Turns 15-21 keep varying the ""average household income"" search; Turns 24-30 continue the same income-rank hunt with search_schema/search_value variants; Turn 30 hits a timeout warning before submit_answer","The county was already identified, but many late turns chased household-income ranking confirmation."
tasks_mini/k-5-d-4/task_1.json,error_tokens_reached,10,Auxiliary evidence chase after narrowing the answer,"Searched Washington contract datasets, identified the likely college set, and then branched into county-seat and building-year lookups.",Repeated search and read variations on the same county-seat / college / building path after the main contract counts were already known.,"Had the college contract rankings and county candidates, then timed out before the final building-year extraction.",25-34,1-24,The run kept widening the county and building search instead of narrowing to the final metadata field before the timeout.,Turns 15-17 compute the top Texas counties by average expenditure; Turns 19-24 chase county-seat pages and school dataset variants; Turn 25-34 end with a timeout while still narrowing the building target,"The college and county path was clear, but the run kept widening the building-year evidence search."
tasks_mini/k-4-d-4/task_3.json,error_tokens_reached,8,Auxiliary evidence chase after narrowing the answer,"Computed Texas county expenditure averages, then chased county-seat and student-percentage data for the top counties.",Kept reformulating county-seat and district-dataset searches after the top counties were already known.,Got the Texas county ranking and then spent the tail on county-page and district-dataset hunting without reaching the final district step.,24-31,1-23,"It had enough county ranking signal, but the later turns kept cycling through near-duplicate geography and dataset searches.","Turns 15-17 run execute_code to rank Texas counties by average expenditures; Turns 19-23 read county pages for Harris, Dallas, Tarrant, and friends; Turns 24-31 keep searching county-seat and identified-student-percentage datasets","The Texas county ranking was known, but the run kept hunting county-seat and district corroboration."
tasks_mini/k-3-d-4/task_7.json,error_tokens_reached,7,Auxiliary evidence chase after narrowing the answer,"Used Missouri spending and county evidence to infer Route 66, but then spent the late budget chasing household-income rank data that did not resolve the answer.",Kept reformulating the same county-income search with search_value and search_schema after the route clue was already in hand.,Turn 21 received a timeout warning on the income-rank search; turn 22 submitted the best current answer.,15-21,4-14,"The answer path was clear enough, but the agent over-invested in a secondary county-income lookup and ran out of time.","Turns 15-21 repeatedly search for ""average household income"" county rank; Turn 21 is the timeout warning on the search loop; Turn 22 submits the Route 66 answer after the warning","The route clue was already strong, but the tail kept hunting county-income corroboration."
tasks_mini/k-5-d-3/task_3.json,error_tokens_reached,6,Auxiliary evidence chase after narrowing the answer,"Ranked Texas county expenditures, then searched for county-seat pages and a district-level student-percentage dataset.",Repeated county-name and district-dataset searches across several near-duplicate phrasings.,Got the top counties and then spent the tail searching county pages and school datasets without reaching the final district step.,24-29,1-23,"It had the county ranking signal, but the later turns kept cycling through county and district discovery instead of finishing the join.","Turns 15-17 compute the Texas county average-spending ranking; Turns 19-23 search county-seat pages for Harris, Dallas, and Tarrant; Turns 24-29 keep probing county and district dataset names","After ranking the counties, it kept searching county pages and district datasets instead of closing the join."
tasks_mini/k-5-d-3/task_1.json,error_tokens_reached,4,Auxiliary evidence chase after narrowing the answer,"Identified Eleanor Roosevelt High School and then chased the Warm Springs, Georgia population clue.",Kept reformulating Warm Springs population and gazetteer searches after the city was already identified.,Had Warm Springs as the target city and was still probing census-style datasets for the exact population.,17-24,1-16,The run spent too many turns on near-duplicate population lookups instead of stopping once the city was already clear.,Turns 14-16 search Eleanor Roosevelt and Warm Springs; Turns 17-24 keep trying Warm Springs population and gazetteer queries; Turn 25 gets a timeout warning before the final submit,"Warm Springs was already identified, but the run kept reformulating population lookups."
tasks_mini/k-2-d-4/task_1.json,error_tools_limit,3,Auxiliary evidence chase after narrowing the answer,"Narrowed counties using bridges, fire departments, renewables, and crime data, then kept hunting for an extra county dataset after the answer was already implied.",Kept searching for additional county evidence after the candidate set had already narrowed to the final contenders.,Turn 40 had enough county evidence; turns 41-43 chased an extra dataset and hit the tool limit.,41-43,1-40,The last budget went into another discovery thread instead of submitting once the county comparison had already converged.,Turn 41 calls discover-data again after the county set is already narrowed; Turn 43 list_files on ATM locations is cancelled at the tool limit,"The county set was already narrowed, but it kept hunting extra county evidence before submitting."
tasks_mini/k-4-d-4/task_4.json,error_tokens_reached,3,Auxiliary evidence chase after narrowing the answer,"Filtered Providence property-tax rolls for hospital property candidates, then chased the Hasbro/Hassenfeld naming chain.","Repeated near-duplicate queries on 101 Dudley, RI Hospital, and Hasbro/Hassenfeld variants.","Got from parcel and hospital pages to Hasbro family pages, then hit the tool cap while opening Alan_Hassenfeld.",31-33,1-30,The tail kept branching through name variants after the key property had already been isolated.,Turns 13-18 filter Providence hospital properties; Turns 27-33 repeat 101 Dudley / RI Hospital / Hasbro searches; Turn 33 hits the tool limit while opening Alan_Hassenfeld,"The property candidate was isolated, then the tail kept walking name variants and family pages."
tasks_mini/k-5-d-3/task_4.json,error_tokens_reached,2,Auxiliary evidence chase after narrowing the answer,Compared Washington agency-contract counts for community colleges and then looked for the county/building chain needed for the year-built answer.,Re-ran college-name filters and county-seat lookups with slight query variations after the main contract-count work was already known.,"Had the college contract counts and county candidates, then ran out of budget while still narrowing the building target.",25-26,1-24,The agent kept iterating on the same county/building path instead of closing the final lookup before the timeout.,Turns 19-24 compute and compare community-college contract counts; Turn 25 rewrites the plan after the count work is already done; Turn 26 times out before the next query can finish,"The contract-count comparison was done, but it kept iterating on county and building confirmation."
tasks_mini/k-2-d-4/task_8.json,error_tokens_reached,1,Auxiliary evidence chase after narrowing the answer,"Worked through Texas county admissions and county-seat references, then kept querying the same county-year counts until the tool budget expired.",Repeatedly rechecked county counts across years after the candidate counties were already visible.,Turn 31 had the schema and county evidence in hand; turn 32 was the final peek cancelled by the limit.,32,1-31,The final call was a metadata peek that came after enough county evidence had already been collected.,Turn 31 inspects the 2019 schema fields; Turn 32 peek_file is cancelled at the tool limit,"The likely counties were already visible, but it kept rechecking yearly county counts and schema details."
tasks_mini/k-7-d-4/task_6.json,error_tokens_reached,2,Budget-edge finishers,It identified Virginia Tech in Blacksburg and worked through the needed NCES school-location files.,Late-stage file-structure checks on the 2020-21 district-office data did not turn into the final aggregation.,"The answer path was clear, but the last structure-check query timed out before it could combine counts.",18-19,1-17,The final file-shape query timed out before any answer could be submitted.,Turn 18 query_file on school-district-office-locations-2020-21 is cancelled at timeout; Turn 19 immediately crashes with max tokens,The answer path was clear and only the last file-shape query timed out before synthesis.
tasks_mini/k-3-d-1/task_1.json,error_tools_limit,1,Budget-edge finishers,"Found APD search and dispatch datasets, chunk-counted 2023 Charlie-sector incidents, then used the last turns searching for use-of-force data and hit the tool limit.","Kept searching APD datasets after the main dispatch count was already solved, then ran out of budget on the remaining lookup.",Turn 38 had the county-district count; turn 39 was the final use-of-force search that got cancelled.,39,1-38,The run used its last call on one more dataset lookup instead of stopping after the key APD count was already computed.,Turn 38 chunk-counts 2023 Charlie-sector incidents; Turn 39 search_prefix for apd-use-of-force is cancelled by the tool limit,Most work was productive and the run only lost the final use-of-force lookup.
tasks_mini/k-3-d-3/task_1.json,error_tokens_reached,1,Budget-edge finishers,"Cross-year NYC school progress reports were narrowed to repeated school names, but the run stopped while chasing another schema search for closing-gap fields.",Kept re-querying the same school names across years instead of consolidating the cross-year school comparison.,Turn 21 had the repeated high-school matches; turn 22 timed out on a schema search.,22,1-21,It spent the final turn on another schema search after the relevant school matches were already identified.,Turn 20-21 keep querying the same NYC school names across years; Turn 22 search_schema times out,The cross-year school comparison was nearly done and only the last schema search was cut off.
tasks_mini/k-3-d-3/task_10.json,error_tokens_reached,1,Budget-edge finishers,"Compared the same Chicago library branches across circulation, visitors, and computer-session datasets, then crashed on the final turn before a submission.",Repeated the same top-branch ranking logic across related library metrics instead of converging to the intersection.,Turn 21 had the final branch-ranking query; turn 22 crashed at the max-token limit.,22,1-21,The run stayed on the same branch-ranking path until the model token budget was exhausted.,Turn 20-21 repeat top-branch queries across circulation and computer sessions; Turn 22 crashes at the max-token limit,It stayed on the library-branch ranking path and ran out at the very end.
tasks_mini/k-4-d-4/task_7.json,error_tools_limit,1,Budget-edge finishers,Worked through Route 66 city comparison and started the overtime/salary lookup needed for the final city answer.,Kept following the same city-comparison path and then spent the tail on the overtime-to-salary join.,"Had the Route 66 terminus cities and binge-drinking evidence pinned down, then the final salary lookup got cut off.",37,1-36,"The last query was still on the needed path, but it was cut by the tool budget before the final lookup could finish.",Turn 36 records the revised plan after the city comparison is established; Turn 37 starts the overtime aggregation for 2014 and is cancelled; The final salary lookup never appears before the cutoff,The main city comparison was done and only the final salary lookup was cut off.
tasks_mini/k-4-d-4/task_8.json,error_tokens_reached,1,Budget-edge finishers,"Worked through Missouri expenditures and Route 66 city comparison, then wrapped up with the Chicago-vs-Santa Monica reasoning.",Kept revisiting the city-health and terminus-city comparison rather than moving directly to the last submission step.,Had the Chicago comparison in hand and was finishing the final reasoning when the run stopped.,32,1-31,"The final data step was cut right at the end, so only a small amount of budget was lost to the stop condition.",Turn 31 is the last data query before the timeout; Turn 32 submits the answer after the budget warning; The log shows no long repeated loop after the city comparison,It had nearly finished the city comparison and lost only the final submission-adjacent step.
tasks_mini/k-5-d-3/task_5.json,error_tokens_reached,1,Budget-edge finishers,"Filtered NY bridge, fire, ATM, and renewable datasets, then tried to finish with county-seat and violent-crime lookups.",Kept cycling through county lookups and partial dataset matches instead of closing the county comparison.,"Had the four county filters and county-seat candidates, then hit the tool cap while starting the fire-department stage.",34,1-33,"The run was still on the intended path, but the last county lookup was cut off by the hard tool limit.",Turn 24 queries the bridge dataset and finds the four counties; Turn 33 starts the fire-department directory lookup; Turn 34 is cancelled for tool limit,The county-filter chain was still on path and only the next lookup was cut off by the tool limit.
tasks_mini/k-5-d-4/task_8.json,error_tokens_reached,1,Budget-edge finishers,Worked through DC crime incidents by ward after the building-permit setup and query-format fix.,Kept issuing near-duplicate ward queries for the remaining years after the 2022 failure.,Turn 27 hit the tool limit warning while querying 2024 after the ward filter was already established.,27,1-26,The last stretch was repeated per-year ward querying rather than closing the answer.,Turn 25 has a binder error on f.properties.WARD; Turns 26-27 repeat the ward-count query across years,The ward-query pattern was established and only the last per-year query hit the cap.
tasks_mini/k-7-d-3/task_10.json,error_tokens_reached,1,Budget-edge finishers,"Compared Chicago budget ordinance and recommendations datasets, aggregated department totals, and then moved toward the final answer chain.",Reused the same Chicago budget family across ordinance and recommendations variants.,It had the 2019 department totals query and was making a final planning call when the tool limit hit.,29,18-28,"The last useful aggregation succeeded, but the final planning call was cut off by the tool budget.",Turns 23-28 discover and aggregate the Chicago budget tables; turn 29 is the canceled plan_ideal call.,The last useful aggregation succeeded and only the final planning call was clipped.
tasks_mini/k-7-d-3/task_6.json,error_tools_limit,1,Budget-edge finishers,"Tracked the parking-fine, fuel-sales, LAX charter, and moving-violation chain to isolate the federal police agency and department head.",Reused the same parking/moving agency queries across the relevant years and added the fuel/LAX year-window checks.,It had the moving-violation counts and was on the final cross-year parking aggregation when the timeout hit.,29,4-28,The final parking aggregation was interrupted by the timeout.,Turns 26-28 stream and count the parking-violation files; turn 29 is the canceled moving-violations search.,The final parking and moving-violation aggregation was interrupted right at the end.
tasks_mini/k-7-d-3/task_7.json,error_tools_limit,1,Budget-edge finishers,"Ran the same agency chain as the other U.S. agency tasks, then drilled into Wikipedia for the department head and alma mater.",Rechecked the federal-agency and Wikipedia lookup chain around the Park Police and Interior secretary.,It had identified the Park Police / Interior chain and was opening the secretary page when the tool limit hit.,30,4-29,The final reference read was cut off after the tool quota was exhausted.,"Turn 28 searches the Interior prefix, turn 29 lists secretary pages, turn 30 is the canceled read_file.",It had the Park Police and Interior chain and only lost the last reference read.
tasks_mini/k-7-d-3/task_8.json,error_tools_limit,1,Budget-edge finishers,"Solved the year-window subproblems with jail census and LAX charter passengers, then computed parking-fine agencies and moved into the moving-violation counts.",Reused the same fuel/LAX year checks and parking/moving agency queries across the same January window.,It had the parking fine totals and was on the last January 2021 agency aggregation when the timeout hit.,29,4-28,The last aggregation query on parking fines was interrupted by the tool limit.,"Turn 14 computes the LAX charter year, turn 27 aggregates 2021 parking fines, turn 29 is the canceled moving-violations search.",The January 2021 agency aggregation was the last remaining step when timeout hit.
tasks_mini/k-7-d-4/task_10.json,error_tokens_reached,1,Budget-edge finishers,It used Jon Whitmore's ACT and Iowa City clue to work through Iowa county counts across the school-location datasets.,"After the main county was clear, it kept drilling on the same Iowa datasets and finished with one last ACT search that hit the tool cap.","The run had the county/state path in hand, but the final ACT-city lookup was cancelled before it could synthesize the answer.",38,1-37,A final lookup was cut off by the tool limit; there was no room left to consolidate the counts.,Turn 38 search_value on ACT Inc and Iowa City is cancelled at the tool limit; Turn 39 submits the best-guess answer after the cutoff,The county and state path was already in hand and only the final ACT-city lookup was clipped.
