path,status,fields_changed,summary,question_change,answer_change,same_task_elsewhere
.DS_Store,changed-binary/non-json,,binary/non-json files differ,,,
k-1-d-1/task_1.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 1 (1)",,,
k-1-d-1/task_2.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 1 (1)",,,
k-1-d-1/task_3.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: practical_motivation, reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 1 (1)","question changed: copy=""Define a yearly Passenger Instability-Adjusted Load (PIAL) as annual total CTA bus passengers across all rout…"" | tasks_mini=""Define a yearly Passenger Instability-Adjusted Load (PIAL) as: annual total CTA bus passengers across all rou…""",,
k-2-d-3/task_1.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 4 (1, 2, 3, 4)",,,
k-3-d-1/task_1.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 2 (2, 3); identical node ids: 1",,,
k-3-d-2/task_1.json,changed,"datasets_used,nodes,question,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, question, reasoning_hops; changed node ids: 4 (1, 2, 3, 4)","question changed: copy=""I'm trying to estimate how many taser-use incidents per century Austin has using 2023 data. Find the Austin p…"" | tasks_mini=""I'm trying to estimate how many taser-use incidents per century Austin has using 2023 data. Find the Austin P…""",,
k-3-d-2/task_10.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain, verdict; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 3 (2, 3, 4); identical node ids: 1",,,
k-3-d-2/task_11.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 4 (1, 2, 3, 4)",,,
k-3-d-2/task_12.json,changed,"datasets_used,nodes,reasoning_hops","only tasks_mini keys: reasoning_chain; changed keys: datasets_used, nodes, reasoning_hops; changed node ids: 4 (1, 2, 3, 4)",,,
