task_id,log_error_bucket,estimated_wasted_turns,turn_waste_global_group,turn_waste_global_subtype,turn_waste_summary,turn_repeated_behavior,turn_progress_stop_point,wasted_turn_ranges,productive_turn_ranges,turn_budget_failure_reason,turn_waste_evidence,turn_waste_global_group_reason,turn_waste_global_subtype_reason,turn_waste_local_group,turn_waste_local_group_reason
tasks_mini/k-4-d-4/task_4.json,error_tokens_reached,3,endgame overshoot,late-stage answer overshoot,"Filtered Providence property-tax rolls for hospital property candidates, then chased the Hasbro/Hassenfeld naming chain.","Repeated near-duplicate queries on 101 Dudley, RI Hospital, and Hasbro/Hassenfeld variants.","Got from parcel and hospital pages to Hasbro family pages, then hit the tool cap while opening Alan_Hassenfeld.",31-33,1-30,The tail kept branching through name variants after the key property had already been isolated.,Turns 13-18 filter Providence hospital properties; Turns 27-33 repeat 101 Dudley / RI Hospital / Hasbro searches; Turn 33 hits the tool limit while opening Alan_Hassenfeld,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","It had narrowed to the hospital-property chain, then spent the last turn on one more naming check.",Auxiliary evidence chase after narrowing the answer,"The property candidate was isolated, then the tail kept walking name variants and family pages."
tasks_mini/k-3-d-1/task_1.json,error_tools_limit,1,endgame overshoot,late-stage answer overshoot,"Found APD search and dispatch datasets, chunk-counted 2023 Charlie-sector incidents, then used the last turns searching for use-of-force data and hit the tool limit.","Kept searching APD datasets after the main dispatch count was already solved, then ran out of budget on the remaining lookup.",Turn 38 had the county-district count; turn 39 was the final use-of-force search that got cancelled.,39,1-38,The run used its last call on one more dataset lookup instead of stopping after the key APD count was already computed.,Turn 38 chunk-counts 2023 Charlie-sector incidents; Turn 39 search_prefix for apd-use-of-force is cancelled by the tool limit,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The dispatch count was already solved, then the last turn chased one more APD dataset lookup.",Budget-edge finishers,Most work was productive and the run only lost the final use-of-force lookup.
tasks_mini/k-3-d-3/task_9.json,error_tools_limit,1,endgame overshoot,late-stage answer overshoot,"Computed Texas budget and release-related counts, then submitted the final [Police] answer after the tool budget was exhausted.",Rechecked the same budget recommendation and ordinance files near the end instead of stopping earlier with the best available result.,Turn 32 hit the tool limit on the final 2020 ordinance query; turn 33 submitted the answer.,32,1-31,"Most of the work was productive, but the final verification step landed exactly on the tool cap.",Turn 31 queries the 2019 ordinance positions-and-salaries file again; Turn 32 hits the 30-call limit on the 2020 ordinance query; Turn 33 submits [Police] immediately after the warning,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The budget and ordinance path was basically done, then one last check burned the remaining turn budget.",Stop-warning overruns,It did one more year check after the budget warning instead of closing with the best available answer.
tasks_mini/k-3-d-4/task_10.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Worked through the budget-ordinance comparison, then stopped at the tool cap right before the last year-over-year verification.",Revisited the same budget recommendation files across adjacent years instead of compressing the remaining checks.,Turn 32 hit the tool limit on the 2020 recommendation query; turn 33 submitted the answer.,32,4-31,"The run was mostly on-path, but the final validation step ran into the hard tool ceiling.","Turns 28-31 inspect 2019, 2020, and 2021 recommendation files; Turn 32 is the blocked 2020 query_file call; Turn 33 submits [Police] immediately after the stop warning","The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",It revisited the budget recommendation files for one final verification right before the tool cap.,Stop-warning overruns,It kept one more adjacent-year budget check after the limit warning before submitting.
tasks_mini/k-3-d-4/task_9.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Finished the Texas county intersection and used the county-history clue to settle on [GALVESTON], then hit the limit on one last capital-outlay check.",Repeated the Texas county and capital-outlay lookups even after the common top-county set was already known.,Turn 27 timed out on the last capital-outlay category query; turn 28 submitted [GALVESTON].,27,20-26,The late-stage rechecks of the same Texas expenditure family consumed the last budget right before submission.,Turn 24 extracts the 2018 capital-outlay top counties; Turn 25-26 revisit the Texas counties clue; Turn 27 repeats the capital-outlay category query and hits the timeout,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The common top-county set was known, then one last capital-outlay check hit the limit.",Stop-warning overruns,It repeated the same capital-outlay recheck after the common top counties were already known and then submitted.
tasks_mini/k-4-d-4/task_7.json,error_tools_limit,1,endgame overshoot,late-stage answer overshoot,Worked through Route 66 city comparison and started the overtime/salary lookup needed for the final city answer.,Kept following the same city-comparison path and then spent the tail on the overtime-to-salary join.,"Had the Route 66 terminus cities and binge-drinking evidence pinned down, then the final salary lookup got cut off.",37,1-36,"The last query was still on the needed path, but it was cut by the tool budget before the final lookup could finish.",Turn 36 records the revised plan after the city comparison is established; Turn 37 starts the overtime aggregation for 2014 and is cancelled; The final salary lookup never appears before the cutoff,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The Route 66 city chain was already established, then the last salary lookup ran out the clock.",Budget-edge finishers,The main city comparison was done and only the final salary lookup was cut off.
tasks_mini/k-4-d-4/task_8.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Worked through Missouri expenditures and Route 66 city comparison, then wrapped up with the Chicago-vs-Santa Monica reasoning.",Kept revisiting the city-health and terminus-city comparison rather than moving directly to the last submission step.,Had the Chicago comparison in hand and was finishing the final reasoning when the run stopped.,32,1-31,"The final data step was cut right at the end, so only a small amount of budget was lost to the stop condition.",Turn 31 is the last data query before the timeout; Turn 32 submits the answer after the budget warning; The log shows no long repeated loop after the city comparison,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",It was already wrapping up the city comparison when the run stopped on the final reasoning step.,Budget-edge finishers,It had nearly finished the city comparison and lost only the final submission-adjacent step.
tasks_mini/k-5-d-4/task_8.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,Worked through DC crime incidents by ward after the building-permit setup and query-format fix.,Kept issuing near-duplicate ward queries for the remaining years after the 2022 failure.,Turn 27 hit the tool limit warning while querying 2024 after the ward filter was already established.,27,1-26,The last stretch was repeated per-year ward querying rather than closing the answer.,Turn 25 has a binder error on f.properties.WARD; Turns 26-27 repeat the ward-count query across years,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The ward filter was set, then one last year query hit the limit before submission.",Budget-edge finishers,The ward-query pattern was established and only the last per-year query hit the cap.
tasks_mini/k-5-d-4/task_1.json,error_tokens_reached,10,endgame validation loop,late candidate validation loop,"Searched Washington contract datasets, identified the likely college set, and then branched into county-seat and building-year lookups.",Repeated search and read variations on the same county-seat / college / building path after the main contract counts were already known.,"Had the college contract rankings and county candidates, then timed out before the final building-year extraction.",25-34,1-24,The run kept widening the county and building search instead of narrowing to the final metadata field before the timeout.,Turns 15-17 compute the top Texas counties by average expenditure; Turns 19-24 chase county-seat pages and school dataset variants; Turn 25-34 end with a timeout while still narrowing the building target,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.","The college set was identified, then it kept revisiting county-seat and building-year checks.",Auxiliary evidence chase after narrowing the answer,"The college and county path was clear, but the run kept widening the building-year evidence search."
tasks_mini/k-4-d-3/task_3.json,error_tokens_reached,4,endgame validation loop,late candidate validation loop,"Compared foster-care, staffing, public-assistance, and mental-health county counts, then kept chasing another county-side dataset until the tool cap stopped the run.",Swapped among closely related county social-services datasets instead of converging on one answer path.,Turn 43 hit the tool limit on a public-assistance query; the run then crashed on max tokens.,40-43,10-39,The late run kept re-entering the same county-comparison space with adjacent datasets and lost the remaining budget before it could submit.,Turns 41-43 retry the public-assistance cases query for the same counties; Turns 35 and 39 show the county comparisons were already in progress; Turn 43 is the blocked query that triggers the final stop,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.",It swapped among related county social-services datasets instead of converging on the answer.,Same-source rediscovery and file/schema poking,The late turns kept swapping among adjacent county-services datasets instead of committing to one answer path.
tasks_mini/k-2-d-4/task_1.json,error_tools_limit,3,endgame validation loop,late candidate validation loop,"Narrowed counties using bridges, fire departments, renewables, and crime data, then kept hunting for an extra county dataset after the answer was already implied.",Kept searching for additional county evidence after the candidate set had already narrowed to the final contenders.,Turn 40 had enough county evidence; turns 41-43 chased an extra dataset and hit the tool limit.,41-43,1-40,The last budget went into another discovery thread instead of submitting once the county comparison had already converged.,Turn 41 calls discover-data again after the county set is already narrowed; Turn 43 list_files on ATM locations is cancelled at the tool limit,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.",It kept hunting for one more county dataset after the candidate set had already narrowed.,Auxiliary evidence chase after narrowing the answer,"The county set was already narrowed, but it kept hunting extra county evidence before submitting."
tasks_mini/k-5-d-3/task_4.json,error_tokens_reached,2,endgame validation loop,late candidate validation loop,Compared Washington agency-contract counts for community colleges and then looked for the county/building chain needed for the year-built answer.,Re-ran college-name filters and county-seat lookups with slight query variations after the main contract-count work was already known.,"Had the college contract counts and county candidates, then ran out of budget while still narrowing the building target.",25-26,1-24,The agent kept iterating on the same county/building path instead of closing the final lookup before the timeout.,Turns 19-24 compute and compare community-college contract counts; Turn 25 rewrites the plan after the count work is already done; Turn 26 times out before the next query can finish,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.","After the contract counts were known, it kept checking the college and county chain for confirmation.",Auxiliary evidence chase after narrowing the answer,"The contract-count comparison was done, but it kept iterating on county and building confirmation."
tasks_mini/k-2-d-3/task_2.json,error_tokens_reached,1,endgame validation loop,late candidate validation loop,"Moved from unemployment-benefit counts into Texas county-expenditure files, then kept checking yearly county totals and odd county labels before the tool budget ran out.",Alternated between county-by-year expenditure aggregation and cleanup checks for unusual county labels and file metadata.,Turn 35 had the key county totals; turn 36 was a metadata retry after the tool limit warning.,36,1-35,It spent the last budget on one more metadata retry instead of stopping after the county averages were already computed.,Turn 25-28 compute county intersections and special codes; Turn 36 peeks metadata.json after the tool-limit warning,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.",Kept checking yearly totals and label edge cases after the county-expenditure path was already narrowed.,Stop-warning overruns,"The county totals were already computed, but it spent the warning turn on another metadata peek instead of stopping."
tasks_mini/k-2-d-3/task_8.json,error_tokens_reached,1,endgame validation loop,late candidate validation loop,"Found the Chicago library circulation, visitor, and computer-session datasets for 2019-2021 and queried the top branches, but stopped after one more discovery pass instead of intersecting the lists.",Kept broadening library dataset discovery after the relevant branch-ranking tables were already in hand.,Turn 10 had the circulation and visitors queries; turn 11 re-entered discovery instead of intersecting them.,11,1-10,"It returned to discovery even though the needed branch lists were already identified, so the remaining budget went to a redundant search step.",Turn 10 queries 2020 circulation top 5; Turn 11 re-enters discover-data after the datasets are already found,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.","After the branch tables were in hand, it made one more discovery pass instead of intersecting them.",Off-path detours and rediscovery resets,"It already had the needed library rankings, then reset into broad discovery instead of intersecting them."
