task_id,model_variant,runner_model,mode,plan_family,result_csv,log_path,plan_file,semantic_match,semantic_bucket,semantic_reason,exact_match,recorded_plan_text,ideal_reasoning_chain,follow_plan_label,divergence_type,trajectory_summary,missed_ideal_steps,extra_relevant_steps,follow_plan_reason,evidence,auditor_model,audit_status
tasks_mini/k-1-d-1/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json,1,semantic_correct,Prediction refers to the same answer as expected: 2021.,1.0,1) search_ideal for dataset with annual US drug overdose deaths by year 2015-2023 (CDC WONDER or NCHS provisional). 2) peek_file / peek_multiple on best dataset to inspect columns. 3) query_ideal to sum deaths per year across all states (United States). 4) compute scores and determine max; use execute_ideal if needed for calculation. 5) submit_answer with the year having highest score.,"1. Filter to December 12-month-ending drug overdose death counts across U.S. states, excluding the national aggregate, sum annual totals needed for year-over-year growth, compute each 2016 through 2023 growth-amplified overdose burden score, and return the year with the highest score.",mostly_followed,operation_mismatch,"Searched the overdose-death dataset, inspected rows, repaired an initial extraction query into an annual state-summed query for 2015-2023, computed the year-over-year growth-amplified scores, and submitted [2021].",,submit_repaired_sql after the first query_ideal mismatch; repeated query_ideal/select_match retry on the corrected annual aggregation,The run stayed on the same overdose dataset and ultimately performed the plan's required annual aggregation and max-year comparison; the only divergence was an initial non-aggregating query that had to be repaired.,"log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log lines 12-13, 18-22, 32-39, 38-59, 68-97; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_2.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json,1,semantic_correct,Prediction refers to the same answer as expected: 2007.,1.0,"1) search_ideal for New York Lotto draw datasets covering 2005-2010 (planning/search)
2) inspect dataset file list with list_files or peek_file to find draws with bonus ball column
3) peek_file or peek_multiple to view schema and confirm bonus ball column name and date/year field
4) query_file (query_ideal) to compute per-year average and standard deviation of bonus ball for 2005-2010 and compute BVAL per year
5) submit_answer with year having highest BVAL
","1. For New York Lotto draws from 2005 through 2010, group bonus ball numbers by draw year, compute each year's BVAL as the average plus half of the standard deviation, and return the year with the highest BVAL using the earlier year as the tie-breaker.",followed,none,"Searched the New York Lotto dataset, peeked the file, computed yearly BVAL from bonus-ball average plus half the standard deviation for 2005-2010, and returned [2007].",,,"The trajectory used the intended dataset, year range, statistic, tie-break rule, and answer shape without any material deviation.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log lines 12-13, 18-22, 32-46, 61; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json",gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_3.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json,1,semantic_correct,Prediction refers to the same answer as expected: 2006.,1.0,1) peek_file the dataset 'cta-ridership-bus-routes-monthly-day-type-averages-totals' file rows.txt to confirm columns and sample values. 2) Use query_ideal to sum MonthTotal by year across all routes for years 2006-2010. 3) Calculate year-over-year percentage changes and PIAL for each year 2006-2010 using query_ideal if possible or small calculation in next step. 4) submit_answer with the year having lowest PIAL.,"1. Sum monthly CTA bus passenger totals across all routes by year for the period needed to compare 2006 through 2010 against the prior year, compute each year's PIAL from the annual total and absolute year-over-year percentage change, and return the year with the lowest PIAL using the earlier year as the tie-breaker.",mostly_followed,operation_mismatch,"Searched the CTA ridership dataset, inspected the file, repaired an initial aggregate query into annual totals, computed PIAL with absolute year-over-year change for 2006-2010, and submitted [2006].",,submit_repaired_sql after the first query_ideal mismatch; repeated annual-total/PIAL query on the corrected formulation,The run remained on the same CTA bus ridership source and completed the intended annual-total and PIAL computation; the main deviation was an initial query that needed repair before the final calculation.,"log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log lines 26-27, 32-46, 56-57, 66-96, 125; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json",gpt-5.4-mini,complete
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json,0,semantic_incorrect,Prediction [1790] refers to a different answer than expected 5021.,0.0,1) Search for NOPD 'officer applies weapon' incidents 2022 by division (search_ideal). 2) Search for APD mental-health call-log incidents 2022 by patrol sector where search reason 'illegal items' count of searches (search_ideal). 3) Search for Austin officer applies weapon incidents 2022 by city council district (search_ideal). 4) Extract counts and compare; submit the max with reasoning (submit_answer).,"1. For 2022 NOPD incident records, determine the largest count of incidents where an officer applied a weapon across divisions. | 2. For 2022 APD search records, identify the patrol sector excluding Unknown with the most searches due to illegal items. | 3. Using the patrol sector from step 2, count 2022 APD mental-health call-log incidents in that sector. | 4. For 2022 APD officer-applied-weapon incident records, determine the largest count across Austin City Council districts, then compare the three incident counts and return the greatest value.",followed,none,"Located the NOPD, APD search, APD call-log, and APD use-of-force datasets; filtered the requested 2022 records, compared the three counts, and submitted [1790].",,,"All required source families and comparison steps were executed, and the final answer came from the requested count comparison rather than a different computation.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log lines 12-13, 18-73, 84-105, 115-229, 448; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-1/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json,1,semantic_correct,Prediction refers to the same answer as expected: 42.,1.0,"1) Search for NYPD shooting incidents and NYPD complaint datasets (search_ideal). 2) Peek relevant files to learn schema (peek_file/peek_multiple). 3) Query shooting incidents for 2023 count in Bronx (query_ideal). 4) Query complaint data for 2023 in Bronx to find most common offense and its complaint count (query_ideal). 5) Compute ratio and round to nearest integer, then submit_answer.","1. Determine the northernmost borough of New York City. | 2. For that borough in 2023 complaint records, identify the most common offense and count complaints for that offense. | 3. For that same borough in 2023 shooting records, count total shooting incidents, divide the complaint count from step 2 by this shooting count, and return the rounded integer.",followed,none,"Found the Bronx from the borough lookup, counted 2023 Bronx complaints for the top offense and 2023 Bronx shooting incidents, divided the counts, and submitted [42].",,,"The trajectory executed the borough lookup, offense count, shooting count, ratio calculation, and answer formatting described by the plan.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log lines 12-13, 18-22, 32-46, 75-88, 151; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json,0,semantic_incorrect,Prediction [59] refers to a different answer than expected 32.,0.0,"1) search_ideal for Austin Police Department dispatch/use-of-force datasets (functions.search_ideal).
2) peek_file/list_files on the relevant dataset to see files and schema.
3) query_file (query_ideal) to find sector counts excluding Unknown for 2023 and identify top sector.
4) query_file to count incidents in that sector by council district for 2023 and pick top district; then count incidents where officers applied force and tasers used in 2023 for that district.
5) compute per-century average using Austin incorporation year and return rounded integer via submit_answer.","1. Determine Austin's incorporation year for the per-century calculation. | 2. In 2023 APD search records, identify the patrol sector excluding Unknown with the most searches. | 3. Within the sector from step 2, find the Austin City Council district with the most 2023 dispatch-system incident records. | 4. Count 2023 APD incident records in the district from step 3 where officers applied force and tasers were used, convert that count to an average per century using the year from step 1, and return the rounded integer.",followed,none,"Filtered the 2019 and 2023 Wyoming veteran-recipient county datasets, intersected the qualifying county, found Basin as the county seat, looked up Basin's record high temperature, and submitted [115].",,,"The required county filtering, intersection, county-seat lookup, and temperature lookup all occurred on the recorded source path, with extra searches only serving to locate the right page.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log lines 12-13, 18-19, 44-73, 87-158, 244; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_10.json,0,semantic_incorrect,Prediction [145] refers to a different answer than expected 119.,0.0,"1) search_ideal for datasets with public school counts by county and school year including 2022-2023 for Orange County, FL. 2) search_ideal for datasets with private school counts by county and school year including 2021-2022 for Orange County, FL. 3) peek_file or query_ideal the identified files to get the counts. 4) compute difference and submit_answer.","1. Determine the city where Orange County Public Schools is based. | 2. Using the relevant school-location records, determine the county associated with that city. | 3. Count public schools in the county from step 2 for school year 2022-2023. | 4. Count private schools in that same county for school year 2021-2022, then subtract this count from the public-school count from step 3.",mostly_followed,operation_mismatch,"Searched for public- and private-school location datasets, repaired top-level count queries into GeoJSON feature queries, counted Orange County, FL public schools for 2022-2023 and private schools for 2021-2022, and subtracted to submit [145].",,submit_repaired_sql for nested GeoJSON feature schema on both the public and private school counts,"The run kept to the intended public-school and private-school count path for Orange County, FL, but it needed schema repairs before reaching the final subtraction.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log lines 12-13, 18-19, 35-36, 49-80, 89-116, 126; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_10.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_11.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_11.json,1,semantic_correct,Prediction refers to the same answer as expected: 115.,1.0,1) Use search_ideal to find a dataset with county-level counts of veteran disability recipients for 2019 and 2023. 2) Peek/query that dataset to find Wyoming county with 150-180 recipients in 2019 and 260-280 in 2023. 3) Find the county seat for that county (search a county seat dataset or Wikipedia). 4) Find the record high temperature for that county seat from NOAA or city Wikipedia page. 5) Submit the integer Fahrenheit value.,"1. Identify Wyoming counties with between 150 and 180 veteran disability recipients in 2019. | 2. Identify Wyoming counties with between 260 and 280 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Wyoming county kept in step 2. | 4. For the county seat from step 3, determine the record high temperature ever recorded there and return the Fahrenheit integer.",mostly_followed,minor_skip,"Filtered Wyoming county veteran-recipient counts for 2019 and 2023, intersected the qualifying county, then used several extra temperature-search lookups before submitting [115].",,multiple extra search_ideal lookups for Basin and Wyoming record-high temperature pages before the final temperature source was found,"The required county filtering and county-seat/temperature lookup path was preserved, but the temperature step took several extra search passes before the final source was selected.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log lines 12-13, 18-19, 44-73, 87-158, 244; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_11.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_12.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json,1,semantic_correct,Prediction names the same statue as the expected answer; the omitted article does not change the referent.,0.0,"1) Peek FY2019 dataset file to confirm schema and locate Montana rows (functions.peek_file).
2) Query FY2019 for Montana counties with Total between 210 and 225 (functions.query_ideal).
3) Peek FY2023 dataset file to confirm schema (functions.peek_file).
4) Query FY2023 for the same county to check Total between 220 and 235 (functions.query_ideal).
5) If county found, identify its county seat and search for iconic statues in that county seat via web search in dataset of roadside attractions — use search_ideal for 'Montana county seat iconic statue'.
6) Submit final answer with statue name.
","1. Identify Montana counties with between 210 and 225 veteran disability recipients in 2019. | 2. Identify Montana counties with between 220 and 235 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Montana county kept in step 2. | 4. For the county seat from step 3, determine the iconic statue located there and return the statue name.",followed,none,"Queried the 2019 and 2023 Montana veteran-recipient county datasets, intersected the qualifying county, looked up Cut Bank's county seat page, found the statue name, and submitted [Cut Bank Penguin].",,,"The trajectory executed the county filters, intersection, county-seat lookup, and final statue lookup on the expected source path.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log lines 12-13, 18-19, 32-73, 84-105; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_2.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json,0,semantic_incorrect,Prediction [Ward 4; THEFT F/AUTO; -7%] refers to a different answer than expected 93.,0.0,1) Use search_ideal to find DC crime dataset covering 2020 with ward and offense fields. 2) Peek or query the dataset to confirm columns and filter for Ward containing Brightwood (to identify ward number). 3) Query counts by offense for that ward for 2020 to find most common offense. 4) Query counts by year for that offense in that ward for 2020 and 2021; compute percentage change and round to nearest integer. 5) Submit final answer.,"1. Determine which Washington, D.C. ward contains Brightwood. | 2. In 2020 crime incidents for that ward, identify the most common offense and establish the 2020 incident-count baseline for that offense. | 3. In 2021 crime incidents for the same ward and offense, count incidents, compare that count to the 2020 count from step 2 as a percentage, and return the rounded integer.",followed,none,"Used Brightwood's ward, counted the 2020 top offense in Ward 4, counted the same offense in 2021, computed the rounded percentage, and submitted [Ward 4; THEFT F/AUTO; -7%].",,,"The run followed the ward lookup, offense baseline, comparison-year count, and percentage-rounding path spelled out by the plan.","log: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log lines 12-13, 18-19, 32-46, 75-103, 125-228; plan_file: /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json",gpt-5.4-mini,complete
