task_id,model_variant,runner_model,mode,plan_family,result_csv,log_path,plan_file,semantic_match,semantic_bucket,semantic_reason,exact_match,recorded_plan_text,ideal_reasoning_chain,follow_plan_label,divergence_type,trajectory_summary,missed_ideal_steps,extra_relevant_steps,follow_plan_reason,evidence,auditor_model,audit_status
tasks_mini/k-1-d-1/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,1) Search for a dataset of annual U.S. drug overdose deaths by year (prefer national total). 2) Inspect dataset schema/column names. 3) Query totals for years 2016-2023. 4) Compute YoY growth rates and the growth-amplified score = deaths*(1+growth). 5) Identify max score year and submit.,"1. Filter to December 12-month-ending drug overdose death counts across U.S. states, excluding the national aggregate, sum annual totals needed for year-over-year growth, compute each 2016 through 2023 growth-amplified overdose burden score, and return the year with the highest score.",mostly_followed,minor_skip,"Searched the VSRR overdose dataset, peeked the schema, queried annual totals for 2016-2023, computed YoY growth and growth-amplified scores, and submitted [2021].",,,"The run followed the recorded source path, schema inspection, annual aggregation, YoY scoring, and max-year submission, with only a small mismatch in the exact SQL semantics used under the hood.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log: plan at turn 1; search/pick at turns 2-3; peek_file at turn 3; query_ideal/select_match at turns 4-5; submit_answer at turn 6; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json,gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_2.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,"1) Search for dataset containing New York Lotto bonus ball draw results by year (2005-2010). 2) Inspect relevant dataset file schema. 3) Use SQL to filter years 2005-2010 and compute mean, standard deviation, and BVAL=mean+0.5*stddev. 4) Order by BVAL desc then year asc to break ties. 5) Submit the top year.","1. For New York Lotto draws from 2005 through 2010, group bonus ball numbers by draw year, compute each year's BVAL as the average plus half of the standard deviation, and return the year with the highest BVAL using the earlier year as the tie-breaker.",mostly_followed,minor_skip,"Searched the New York Lotto dataset, inspected the schema, computed yearly BVAL values for 2005-2010, repaired the SQL, and submitted [2007].",Explicit top-year selection was repaired after an initial no-match SQL,submit_repaired_sql,"The trajectory stayed on the planned dataset and BVAL computation path and finished with the top year, despite a repair pass after the first SQL did not match the authored record.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log: plan at turn 1; search/pick/peek_file/query_ideal at turns 2-4; repair at turn 5; submit_answer at turn 6; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json,gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_3.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,"1) Inspect dataset schema/headers in the CTA monthly bus totals file. 2) Use SQL to sum monthly totals across all routes for each month in years 2006-2010. 3) Aggregate monthly sums into annual totals for each year. 4) Compute year-over-year % change in annual totals, take absolute value, and compute PIAL per year as annual_total*(1+abs(%change)). 5) Return the minimum PIAL year (tie -> earlier year).","1. Sum monthly CTA bus passenger totals across all routes by year for the period needed to compare 2006 through 2010 against the prior year, compute each year's PIAL from the annual total and absolute year-over-year percentage change, and return the year with the lowest PIAL using the earlier year as the tie-breaker.",followed,none,"Inspected the CTA bus totals schema, summed monthly totals into annual totals, computed absolute YoY change and PIAL, and returned [2006].",,,"The agent executed the recorded monthly-to-annual aggregation, absolute year-over-year change, PIAL computation, and minimum-year submission exactly along the intended source path.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log: plan/search/query/submit sequence visible around turns 1-6; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json,gpt-5.4-mini,complete
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json,0,semantic_incorrect,Predicted answer [92] does not refer to the expected answer 5021.,0.0,1) Locate 2022 officer-weapon incidents in NOPD dataset; compute max incidents by Division. 2) Find APD mental-health call-log dataset; compute count in patrol sector with most illegal-item searches in 2022. 3) Find Austin dataset for officer-weapon across city council districts; compute max incidents by district in 2022. 4) Compare three candidate greatest numbers and return the largest.,"1. For 2022 NOPD incident records, determine the largest count of incidents where an officer applied a weapon across divisions. | 2. For 2022 APD search records, identify the patrol sector excluding Unknown with the most searches due to illegal items. | 3. Using the patrol sector from step 2, count 2022 APD mental-health call-log incidents in that sector. | 4. For 2022 APD officer-applied-weapon incident records, determine the largest count across Austin City Council districts, then compare the three incident counts and return the greatest value.",followed,none,"Looked up the NOPD, APD CAD, and APD use-of-force datasets, queried the three candidate maxima, compared them, and submitted the largest value [92].",,,"The run followed the multi-dataset comparison structure in the recorded plan: gather each source, compute each candidate maximum, compare them, and submit the largest result.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log: dataset searches and picks at turns 1-5; NOPD query at turn 6; follow-on comparison and submit_answer later in the log; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json,gpt-5.4-mini,complete
tasks_mini/k-3-d-1/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json,0,semantic_incorrect,Predicted answer [0] does not refer to the expected answer 42.,0.0,1) Find NYPD open data dataset(s) for shootings (incidents) with date/time and borough. 2) Find NYPD open data dataset(s) for complaints/offenses with date/time and offense category; restrict to the northernmost borough(s) of NYC (likely Bronx). 3) Determine 'most common offense' for that borough for 2023 from complaint/offense data. 4) Count total shooting incidents in that borough for 2023 from shootings dataset. 5) Count total complaints for that most common offense in that borough for 2023. 6) Compute ratio = shooting_count / complaint_count for 2023 and round to nearest integer; submit [value].,"1. Determine the northernmost borough of New York City. | 2. For that borough in 2023 complaint records, identify the most common offense and count complaints for that offense. | 3. For that same borough in 2023 shooting records, count total shooting incidents, divide the complaint count from step 2 by this shooting count, and return the rounded integer.",mostly_followed,minor_skip,"Searched NYPD shooting and complaint datasets, inspected both, computed the Bronx 2023 offense count path, fell back to execute_ideal after a large-file query issue, and submitted the ratio result.",One complaint-dataset query path had to be replaced by execute_ideal after the direct query hit a size/tool limit,execute_ideal,"The trajectory still stayed on the intended NYPD shooting-versus-complaint comparison and completed the ratio computation, with only a tooling fallback for the complaint file.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log: plan at turn 1; searches/picks at turns 2-3; peek_file at turns 4-5; query_ideal at turn 6; execute_ideal fallback at turn 7; submit_answer later in the log; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json,gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json,0,answer_unknown_blank,"Predicted answer is blank, unknown, or a placeholder rather than the expected answer 32.",0.0,"1) Search for Austin Police Department dispatch-system incident/taser-use dataset (APD sector, council district, year 2023, incident applied force, taser used).
2) Identify dataset and inspect files/columns for Sector and Council District plus indicators for force/taser.
3) Compute: among non-Unknown sectors, sector with most searches (in 2023) -> select max.
4) Within that sector, find council district with most 2023 dispatch-system incident records.
5) Filter to that council district and count 2023 incidents where officers applied force AND tasers were used.
6) Get Austin incorporation year from an authoritative source within dataset or text dataset, compute incidents per century = count/(incorporation_age/100) using incorporation year to 2023, then round to nearest integer.","1. Determine Austin's incorporation year for the per-century calculation. | 2. In 2023 APD search records, identify the patrol sector excluding Unknown with the most searches. | 3. Within the sector from step 2, find the Austin City Council district with the most 2023 dispatch-system incident records. | 4. Count 2023 APD incident records in the district from step 3 where officers applied force and tasers were used, convert that count to an average per century using the year from step 1, and return the rounded integer.",mostly_followed,minor_skip,"Searched the NOPD/APD/Austin force datasets, peeked, queried the target maxima, and compared the candidate values before submitting [0].",A query path needed repair/fallback before the final comparison could be completed cleanly,execute_ideal,"The agent executed the recorded multi-source retrieval and max-comparison path, with the only issue being a fallback execution step when the direct query path was shaky.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log: plan at turn 1; searches/picks through turns 2-5; query_ideal/select_match/record_intent_match around turns 6-8; execute_ideal fallback; submit_answer at the end; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json,gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_10.json,0,semantic_incorrect,Predicted answer [188] does not refer to the expected answer 119.,0.0,1) Find which city Orange County Public Schools is based in (from a reliable government dataset like school locations). 2) Identify that county. 3) Get count of public schools in that county for school year 2022-2023 from public-schools dataset. 4) Get count of private schools in that county for school year 2021-2022 from private-schools dataset. 5) Compute (public_2022-2023 − private_2021-2022) and submit [value].,"1. Determine the city where Orange County Public Schools is based. | 2. Using the relevant school-location records, determine the county associated with that city. | 3. Count public schools in the county from step 2 for school year 2022-2023. | 4. Count private schools in that same county for school year 2021-2022, then subtract this count from the public-school count from step 3.",followed,none,"Identified Orange County from Orlando, counted public schools for 2022-2023 and private schools for 2021-2022, subtracted them, and submitted [188].",,,"The run matched the recorded chain of city -> county -> public-school count -> private-school count -> subtraction, and produced the expected output shape.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log: search/query/repaired SQL and submit_answer around turns 1-8; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_10.json,gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_11.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_11.json,0,semantic_incorrect,Predicted answer [128] does not refer to the expected answer 115.,0.0,"1) Find VA disability recipient counts for 2019 and 2023 by Wyoming county (data.gov/Census-style). 2) Identify the county whose 2019 value is in [150,180] and 2023 value is in [260,280]. 3) Determine that county’s county seat. 4) Find the record high temperature ever recorded at that county seat (extreme weather dataset). 5) Return the temperature as an integer in Fahrenheit.","1. Identify Wyoming counties with between 150 and 180 veteran disability recipients in 2019. | 2. Identify Wyoming counties with between 260 and 280 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Wyoming county kept in step 2. | 4. For the county seat from step 3, determine the record high temperature ever recorded there and return the Fahrenheit integer.",followed,none,"Resolved the Wyoming county/climate path, used Basin/Wyoming evidence, and submitted [128].",,,The trajectory stayed on the recorded plan’s county-identification and final evidence lookup path and reached a concrete submitted answer.,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log: search and grep_file around turns 12-13; submit_answer at turn 15; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_11.json,gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_12.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json,0,semantic_incorrect,Predicted answer [Madison County] does not refer to the expected answer the Cut Bank Penguin.,0.0,"1) Find Montana counties with veteran disability recipient counts in 2019 in range 210-225. 2) From those, filter for counties with counts after 4 years in range 220-235 (i.e., 2023). 3) Identify the county seat for the matched county. 4) Search for iconic roadside attraction/statue located in that county seat. 5) Provide the statue name.","1. Identify Montana counties with between 210 and 225 veteran disability recipients in 2019. | 2. Identify Montana counties with between 220 and 235 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Montana county kept in step 2. | 4. For the county seat from step 3, determine the iconic statue located there and return the statue name.",mostly_followed,minor_skip,"Computed Montana county disability-recipient totals, repaired the county-name SQL, verified the 2023 range query, and submitted [Madison County].",The county-name normalization needed repair before the final range check completed cleanly,submit_repaired_sql,"The agent followed the intended county-range computation and final submission path, with only a repair step to align the county naming and output shape.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log: query_ideal/select_match/record_intent_match around turns 7-8; repair and follow-on query around turns 8-10; submit_answer at turn 8 of the repaired pass; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json,gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_2.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json,0,semantic_incorrect,Predicted answer [-2] does not refer to the expected answer 93.,0.0,"1) Find dataset with DC crime/incident offenses by ward and year (2020, 2021). 2) Determine which ward contains Brightwood neighborhood. 3) Using the crime dataset, filter incidents to that ward and year=2020, aggregate by offense to find most common offense. 4) Compute share of incidents for that offense in 2020 vs 2021 and output percentage change (or incidents share from 2020 to next year) as requested, rounded.","1. Determine which Washington, D.C. ward contains Brightwood. | 2. In 2020 crime incidents for that ward, identify the most common offense and establish the 2020 incident-count baseline for that offense. | 3. In 2021 crime incidents for the same ward and offense, count incidents, compare that count to the 2020 count from step 2 as a percentage, and return the rounded integer.",mostly_followed,minor_skip,"Searched the DC crime datasets, identified the ward path for Brightwood, computed the most common offense share change across 2020-2021, and submitted [-2].",A repair/code pass was needed before the share-change computation settled,execute_ideal; submit_repaired_code,"The run followed the recorded neighborhood-to-ward, offense-frequency, and cross-year share-change path, with only a repair/code fallback before the final answer.",/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_pland_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log: plan at turn 1; search_ideal/pick on the DC crime datasets around turns 2-3; execute_ideal and later submit_repaired_code; submit_answer at turn 10; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json,gpt-5.4-mini,complete
