benchmark,model_variant,mode_label,mode,trajectory_alignment,n,fraction_all,pct_all,fraction_comparable,pct_comparable
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,4,4/83,4.8,4/83,4.8
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,followed,36,36/83,43.4,36/83,43.4
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,21,21/83,25.3,21/83,25.3
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,followed,55,55/83,66.3,55/83,66.3
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,4,4/83,4.8,4/83,4.8
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,19,19/83,22.9,19/83,22.9
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,followed,37,37/83,44.6,37/83,44.6
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,9,9/83,10.8,9/83,10.8
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,22,22/83,26.5,22/83,26.5
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,9,9/83,10.8,9/83,10.8
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,followed,39,39/83,47.0,39/83,47.0
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,10,10/83,12.0,10/83,12.0
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,19,19/83,22.9,19/83,22.9
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,9,9/83,10.8,9/83,10.8
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,followed,41,41/83,49.4,41/83,49.4
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,7,7/83,8.4,7/83,8.4
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,30,30/83,36.1,30/83,36.1
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,followed,26,26/83,31.3,26/83,31.3
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,22,22/83,26.5,22/83,26.5
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,18,18/83,21.7,18/83,21.7
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/135,4.4,6/134,4.5
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,followed,14,14/135,10.4,14/134,10.4
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,36,36/135,26.7,36/134,26.9
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,50,50/135,37.0,50/134,37.3
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,not_comparable,1,1/135,0.7,,
