task_id,log_error_bucket,estimated_wasted_turns,turn_waste_global_group,turn_waste_global_subtype,turn_waste_summary,turn_repeated_behavior,turn_progress_stop_point,wasted_turn_ranges,productive_turn_ranges,turn_budget_failure_reason,turn_waste_evidence,turn_waste_global_group_reason,turn_waste_global_subtype_reason,turn_waste_local_group,turn_waste_local_group_reason
tasks_mini/k-3-d-4/task_3.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,Solved the district-3 school ranking path and converted it into the museum year answer.,Re-queried the same yearly school rankings before doing the final neighborhood read.,"The answer was ready once the Upper West Side clue was confirmed, and the run only stopped on the final source read.",18,1-17; 19,"The final source check was started too late, so the run burned the remaining budget right before submission.",Turn 18 `read_file` on Upper_West_Side is canceled by timeout; Turn 19 submits `[1877]`,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The school-ranking path was solved, then only the final museum-year synthesis remained.",NYC School-Report Ranking Loops,It kept stitching together the same report and clue trail instead of collapsing the already-clear school path.
tasks_mini/k-4-d-4/task_3.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"The agent narrowed the answer through Texas city and county pages, then tried one final county lookup before timeout.",It kept checking adjacent geography pages after the likely answer trail was already visible.,"The Kinney County lookup was canceled by timeout, and the agent immediately had to submit its best answer.",13,1-12,"The final useful clue arrived before the timeout, but the last lookup still consumed the remaining budget.",Turn 13 read_file on Kinney County is canceled by timeout; Turn 14 submits [1825] immediately after the timeout,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The answer was narrowed, then it only needed one final county lookup.",Late Verification and Fallback Checks,"The last useful clue arrived before timeout, and the final county lookup simply consumed the remaining budget."
tasks_mini/k-4-d-4/task_8.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"The agent traced Route 66 and 500 Cities health data, then made one last Springfield grep before the budget stop.",It kept widening the search across geography and health datasets after the Route 66 clue was already established.,"The Springfield grep was canceled by timeout, and the agent had to submit its answer right after.",34,1-33,"The answer path was mostly built, but the final verification grep was cut off by the timeout.",Turn 33 loads the query-data skill after the 500 Cities lookups; Turn 34's Springfield grep is canceled by timeout,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","After tracing Route 66 and 500 Cities data, only one last grep remained.",Late Verification and Fallback Checks,It ended on one last geography verification grep after the Route 66 and 500 Cities path was already built.
tasks_mini/k-7-d-4/task_2.json,error_tools_limit,1,endgame overshoot,late-stage answer overshoot,"Resolved Jon Whitmore, found the relevant Iowa county datasets, and computed the county totals needed for the final arithmetic.",Repeated the same public-school count query once after a stagnation warning.,The repeated public-school count at turn 30 happened right before the tool-limit stop; turn 33 is the submitted answer.,30,1-29; 31-33,"The agent had most of the needed counts, but one duplicate count query consumed the last useful turn before the forced submit.",Turn 30 repeats the public-school count query from turn 29; Turns 31-32 still add the missing private and postsecondary counts; Tool limit then forces submit_answer,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.",Only the final county arithmetic was left after the correct sources were found.,Same-Dataset Recompute Loops,It repeated the public-school count query after a stagnation warning instead of moving straight to the remaining counts.
tasks_mini/k-2-d-4/task_3.json,error_tokens_reached,0,endgame overshoot,late-stage answer overshoot,"Identified Chicago Police Department from overtime data, then looked up superintendent history.",Single pass through the dataset queries with one late verification query.,"Turn 17-18: after a timeout warning, it immediately submitted the answer.",,1-18,The run spent its budget on a long but mostly productive evidence-gathering pass and ended right at the timeout.,Turns 11-15 query overtime by department across 2018-2021; Turn 16 reads Chicago_Police_Department history; Turn 18 submits Orlando W. Wilson after the timeout warning,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The answer was effectively found, then it did one final superintendent check.",No Clear Wasted Tail,The run was mostly a single productive pass and ended right at the timeout warning.
tasks_mini/k-2-d-4/task_9.json,error_tokens_reached,5,endgame validation loop,late candidate validation loop,"Computed Washington county low-income shares across four years, then tried to validate 2021-22 math proficiency.",Kept probing the same 2021-22 assessment file for schema and field details after the path was already clear.,After the King County assessment query error on turn 17 and the timeout warning on turn 18.,14-18,1-13,The run got the low-income filter but spent the tail validating the assessment file instead of finishing the county answer.,"Turns 14-16 probe OrganizationLevel, Suppression, and TestAdministration on the same assessment file; Turn 17 retries a wide King County query and hits a conversion error; Turn 18 is another King County query after the timeout warning","The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.","Computed the core county metric, then validated it against a second school metric.",Same-Dataset Recompute Loops,It kept probing the same assessment file and rerunning the county-linked validation instead of finishing the answer.
tasks_mini/k-2-d-4/task_2.json,error_tokens_reached,4,endgame validation loop,late candidate validation loop,"The agent searched the 500 Cities releases year by year for Texas diabetes prevalence, then pulled 2020 Census population data to narrow the city list.",It kept rerunning the same diabetes query across adjacent yearly releases after the pattern was already clear.,"After a stagnation nudge on the 2017 release, it retried the same query on 2017, 2018, and 2019 instead of moving to the final answer.",13-16,1-12,The tail turned into repeated year-to-year requerying of the same metric instead of consolidating the result set and answering.,Turn 13 gets a stagnation nudge after repeated execute calls; Turns 14-16 repeat the same Texas diabetes SQL on 2017-2019 releases,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.","The answer was narrowed, then it added Census-based corroboration.",Same-Dataset Recompute Loops,It kept rerunning the same Texas diabetes query across adjacent yearly releases after the pattern was already clear.
tasks_mini/k-3-d-3/task_2.json,error_tokens_reached,0,mixed or unclear,mixed or unclear,"Looked for NYC high school progress reports and a ZIP-linked source, then tried to extract the target school's ZIP and census race share.",Moved from progress reports to location and census lookup without a redundant loop.,The run died on the final ZIP/race lookup after turn 10.,,1-10,"Most of the budget went into chasing the right linked datasets, and the crash came before the final join could finish.",Turn 10 is the last lookup before the crash; No clearly redundant turn appears before max-tokens,The visible evidence does not support a confident dominant waste pattern.,It moved from reports to ZIP/census lookup without a clear wasted-turn loop.,No Clear Wasted Tail,The run died on the final linked lookup before a redundant loop appeared.
tasks_mini/k-4-d-4/task_4.json,error_tokens_reached,0,mixed or unclear,mixed or unclear,Filtered Rhode Island property rolls for hospital properties and started looking up the benefactor chain.,Kept narrowing the same property-tax roll across 2015-2018 before a final search on the address.,Turn 11: had identified 101 Dudley St and moved to the benefactor lookup when the run stopped.,,1-11,The run was still in the discovery phase and hit the token limit before the honorific/family lookup was completed.,Turns 7-10 query 2015-2018 property-tax rolls; Turn 11 searches the 101 Dudley St hospital address; No repeated dead-end pattern is visible,The visible evidence does not support a confident dominant waste pattern.,"It narrowed the property-tax roll, but the tail was just a final address/benefactor lookup without a clear loop.",NYC School-Report Ranking Loops,It was still tying the school-report and location clue together with a final Park Slope check when the budget stopped.
tasks_mini/k-3-d-3/task_10.json,error_tokens_reached,15,same-source repetition,school-report churn,"Kept ranking NYC school performance across years, then chased the museum clue until the run hit the limit.",Repeated near-identical top-3 ranking queries across the same yearly school reports.,"Had already established the top school and neighborhood clue, then kept looping on source checks until max tokens.",16-30,1-15,The agent kept re-running the same ranking and clue-validation loop instead of locking in an answer.,Turns 15-16 re-run the 2009-2010 ranking query; Turn 18 reads Upper_West_Side after the answer path is already formed; Turn 30 ends in MaxTokensReachedException,The run kept repeating work inside the same grounded source family instead of moving the clue chain forward.,Repeated NYC school performance ranking across years and stayed in the same report family.,NYC School-Report Ranking Loops,The tail was dominated by repeated top-school ranking queries on the same school reports.
