path,impact,reason,question_changed,answer_changed,node_changes,top_level_changes,copy_question,tasks_mini_question
k-4-d-1/task_1.json,slight,metadata/reasoning-only changes,False,False,,"datasets_used, reasoning_chain, reasoning_hops","In 2019 data reported by the Los Angeles Police Department, find the geo area with the most violations of moving traffic arrests. Then, fin…","In 2019 data reported by the Los Angeles Police Department, find the geo area with the most violations of moving traffic arrests. Then, fin…"
k-4-d-1/task_5.json,slight,metadata/reasoning-only changes,False,False,,"datasets_used, reasoning_chain",Can you find the most common sector in 2023 for incidents recorded in the dispatch system reported by Austin Police for the council distric…,Can you find the most common sector in 2023 for incidents recorded in the dispatch system reported by Austin Police for the council distric…
k-3-d-2/task_10.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","For the city where Orange County Public Schools is based, what is the number of public schools in its county in school year 2022-2023 minus…","For the city where Orange County Public Schools is based, what is the number of public schools in its county in school year 2022-2023 minus…"
k-3-d-2/task_11.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops",I'm interested in extreme weather records across Wyoming. What is the record high temperature ever recorded in the county seat of the Wyomi…,I'm interested in extreme weather records across Wyoming. What is the record high temperature ever recorded in the county seat of the Wyomi…
k-3-d-2/task_12.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops",I'm exploring quirky roadside attractions in Montana. What iconic statue is located in the county seat of a Montana county that had 210-225…,I'm exploring quirky roadside attractions in Montana. What iconic statue is located in the county seat of a Montana county that had 210-225…
k-3-d-2/task_2.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops","I'm considering living in Brightwood, Washington, D.C. Identify the ward Brightwood belongs to, find the most common offense in that ward i…","I'm considering living in Brightwood, Washington, D.C. Identify the ward Brightwood belongs to, find the most common offense in that ward i…"
k-3-d-2/task_4.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops","I want to investigate Adams Morgan in Washington, D.C. Identify the ward Adams Morgan belongs to, find the most common offense in that ward…","I want to investigate Adams Morgan in Washington, D.C. Identify the ward Adams Morgan belongs to, find the most common offense in that ward…"
k-3-d-2/task_5.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","In school year 2022-2023, in the capital city of California, what is the number of public schools in its county minus the number of distric…","In school year 2022-2023, in the capital city of California, what is the number of public schools in its county minus the number of distric…"
k-3-d-2/task_6.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","For Michigan's capital city, what is the number of school district administrative offices in its core-based statistical area in school year…","For Michigan's capital city, what is the number of school district administrative offices in its core-based statistical area in school year…"
k-3-d-2/task_7.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","For the largest city in Illinois, what is the number of private schools in its county in school year 2021-2022 minus the number of postseco…","For the largest city in Illinois, what is the number of private schools in its county in school year 2021-2022 minus the number of postseco…"
k-3-d-2/task_8.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","For the capital city of Massachusetts, what is the number of private schools in its county in school year 2021-2022 minus the number of sch…","For the capital city of Massachusetts, what is the number of private schools in its county in school year 2021-2022 minus the number of sch…"
k-3-d-2/task_9.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","For the most populous city in Michigan, in school year 2022-2023, what is the number of public schools in its county minus the number of po…","For the most populous city in Michigan, in school year 2022-2023, what is the number of public schools in its county minus the number of po…"
k-3-d-4/task_10.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops","Find the New England state had between 200 and 400 veteran pension recipients in both 2020 and 2021, and between 150 and 300 in 2023. What …","Find the New England state had between 200 and 400 veteran pension recipients in both 2020 and 2021, and between 150 and 300 in 2023. What …"
k-3-d-4/task_4.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","In the state with two-digit FIPS code 06, find the counties that rank in the top three for public schools, private schools, and school dist…","In the state with two-digit FIPS code 06, find the counties that rank in the top three for public schools, private schools, and school dist…"
k-3-d-4/task_6.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops, verdict","In the state with two-digit FIPS code 19, find the counties that rank in the top three for public schools, private schools, and school dist…","In the state with two-digit FIPS code 19, find the counties that rank in the top three for public schools, private schools, and school dist…"
k-4-d-2/task_10.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,"node.depends_on, node.fact","datasets_used, nodes, practical_motivation, reasoning_chain, reasoning_hops",In what year was the city founded where the person was born after whom the NYC high school is named that had a 4-year graduation rate of 10…,In what year was the city founded where the person was born after whom the NYC high school is named that had a 4-year graduation rate of 10…
k-4-d-2/task_13.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops",I'm looking into crime trends in the D.C. ward that contains Columbia Heights. What is the most common offense committed there in 2017? Whi…,I'm looking into crime trends in the D.C. ward that contains Columbia Heights. What is the most common offense committed there in 2017? Whi…
k-4-d-2/task_7.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops",I'm researching crime trends in the D.C. ward that contains the North of Massachusetts Avenue neighborhood. What is the most common offense…,I'm researching crime trends in the D.C. ward that contains the North of Massachusetts Avenue neighborhood. What is the most common offense…
k-4-d-2/task_8.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops","Between 2010 and 2019, what year has the highest number of burglaries from vehicles in Los Angeles? In that year, determine which area had …","Between 2010 and 2019, what year has the highest number of burglaries from vehicles in Los Angeles? In that year, determine which area had …"
k-4-d-2/task_9.json,moderate,"node executable fact/dependency changed, but question and final answer stayed the same",False,False,node.fact,"datasets_used, nodes, reasoning_chain, reasoning_hops","Which year saw the highest number of stolen vehicle incidents in Los Angeles between 2010 to 2019? During that peak year, which area had th…","Which year saw the highest number of stolen vehicle incidents in Los Angeles between 2010 to 2019? During that peak year, which area had th…"
k-1-d-1/task_1.json,major,node answer/subquestion/source/count changed,False,False,"node.fact, node.subquestion","datasets_used, nodes, practical_motivation, reasoning_chain, reasoning_hops","For each year from 2016 through 2023, compute a growth-amplified overdose burden score as annual drug overdose deaths across all U.S. state…","For each year from 2016 through 2023, compute a growth-amplified overdose burden score as annual drug overdose deaths across all U.S. state…"
k-1-d-1/task_2.json,major,node answer/subquestion/source/count changed,False,False,"node.fact, node.subquestion","datasets_used, nodes, practical_motivation, reasoning_chain, reasoning_hops","For each year from 2005 through 2010, define Bonus Volatility-Adjusted Level (BVAL) as the draws' average New York Lotto bonus ball number …","For each year from 2005 through 2010, define Bonus Volatility-Adjusted Level (BVAL) as the draws' average New York Lotto bonus ball number …"
