task_id,model_variant,runner_model,mode,plan_family,result_csv,log_path,plan_file,semantic_match,semantic_bucket,semantic_reason,exact_match,recorded_plan_text,ideal_reasoning_chain,follow_plan_label,divergence_type,trajectory_summary,missed_ideal_steps,extra_relevant_steps,follow_plan_reason,evidence,auditor_model,audit_status
tasks_mini/k-1-d-1/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json,1,semantic_correct,Predicted answer '[2021]' refers to the same final answer as expected '2021'; formatting or brackets do not change meaning.,1.0,"1) peek_file on dataset vsrr-provisional-drug-overdose-death-counts files/rows.txt to inspect columns and sample rows. 2) query_ideal: filter for 'Month' = 'December' and 'Period' = '12-month-ending' and 'Indicator' = 'Drug overdose deaths' (or similar exact label) and Year 2016-2023, sum 'Data Value' across states per year. 3) compute year-over-year growth rates and growth-amplified score = total_deaths * (1+growth) for each year 2016-2023 using query_ideal to produce totals; then use execute_ideal (or query_ideal with calculation) to compute growth and score. 4) submit_answer with the year with highest score.","1. Filter to December 12-month-ending drug overdose death counts across U.S. states, excluding the national aggregate, sum annual totals needed for year-over-year growth, compute each 2016 through 2023 growth-amplified overdose burden score, and return the year with the highest score.",mostly_followed,minor_skip,"Searched the VSRR overdose deaths table, peeked the source, computed 2016-2023 annual December 12-month-ending totals, derived year-over-year growth and a repaired growth-amplified score, and submitted [2021].",,Initial sum-only query was repaired into the growth-amplified calculation; one repaired SQL used an explicit non-negative growth clause before the final answer.,"The run stayed on the overdose dataset and the final repaired SQL executed the planned filter, growth computation, and highest-year selection; the only drift was a false start and repair cycle.",log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log lines 12-58 and 571-573; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json reasoning_chain_text,gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_2.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json,1,semantic_correct,Predicted answer '[2007]' refers to the same final answer as expected '2007'; formatting or brackets do not change meaning.,1.0,1) Search (search_ideal) for a dataset containing New York Lotto draw results including bonus ball from 2005-2010. 2) Peek the relevant file(s) to see column names and bonus ball field. 3) Use query_ideal to compute for each year 2005-2010 the mean and standard deviation of the bonus ball numbers and BVAL = mean + 0.5*stddev. 4) Return the year with highest BVAL (earlier year on tie) and submit answer with reasoning.,"1. For New York Lotto draws from 2005 through 2010, group bonus ball numbers by draw year, compute each year's BVAL as the average plus half of the standard deviation, and return the year with the highest BVAL using the earlier year as the tie-breaker.",mostly_followed,minor_skip,"Searched the lottery dataset, computed per-year bonus-ball mean and standard deviation for 2005-2010, and returned [2007].",select the single highest-BVAL year in the query; use the authored sample-standard-deviation variant instead of STDDEV_POP,The first query returned all yearly BVAL rows before the final answer was selected.,"Same dataset, years, and BVAL idea were used, and the run reached the correct year; the differences were the exact stddev variant and output shape.",log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log lines 12-58; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json reasoning_chain_text,gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_3.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json,1,semantic_correct,Predicted answer '[2006]' refers to the same final answer as expected '2006'; formatting or brackets do not change meaning.,1.0,1) search_ideal for CTA monthly bus ridership dataset covering 2006-2010. 2) peek_file on the relevant file to see columns. 3) query_ideal to sum monthly passengers across routes by year for 2005-2010 (need prior year for yoy change). 4) compute PIAL for 2006-2010 and pick year with lowest PIAL; use submit_answer.,"1. Sum monthly CTA bus passenger totals across all routes by year for the period needed to compare 2006 through 2010 against the prior year, compute each year's PIAL from the annual total and absolute year-over-year percentage change, and return the year with the lowest PIAL using the earlier year as the tie-breaker.",mostly_followed,minor_skip,"Computed annual CTA bus passenger totals, repaired the query to include the PIAL adjustment, and submitted [2006].",,The first query only summed annual totals before the repair-agent reran the PIAL formula.,The final path matched the annual-total and absolute year-over-year PIAL logic; the earlier totals-only query was corrected before answer submission.,log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log lines 12-54 and 104-105; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json reasoning_chain_text,gpt-5.4-mini,complete
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json,1,semantic_correct,Predicted answer '[5021]' refers to the same final answer as expected '5021'; formatting or brackets do not change meaning.,1.0,"1) Search for 2022 NOPD use-of-force / officer-applied-weapon dataset (search_ideal). 2) Inspect the relevant NOPD file (peek_file) and query for 2022 records where officer applied a weapon, grouped by division, get max count (query_ideal). 3) Search for 2022 APD search records dataset (search_ideal), inspect file, identify patrol sector (exclude Unknown) with most searches due to illegal items in 2022 (query_ideal). 4) Find APD mental-health call-log dataset for 2022, filter by that sector and count incidents in 2022 (search_ideal + query_ideal). 5) Find APD officer-applied-weapon incidents file with Austin City Council district field, count by district in 2022, get the max (search_ideal + query_ideal). 6) Compare the three counts and submit the greatest value (submit_answer).","1. For 2022 NOPD incident records, determine the largest count of incidents where an officer applied a weapon across divisions. | 2. For 2022 APD search records, identify the patrol sector excluding Unknown with the most searches due to illegal items. | 3. Using the patrol sector from step 2, count 2022 APD mental-health call-log incidents in that sector. | 4. For 2022 APD officer-applied-weapon incident records, determine the largest count across Austin City Council districts, then compare the three incident counts and return the greatest value.",partially_followed,operation_mismatch,"Found APD sector Edward, counted APD CAD mental-health incidents in Edward as 5021, and APD use-of-force district max as 1790, but the NOPD component was computed with a different division/weapon operation and came out as 34 before answering [5021].",NOPD 2022 max weapon-applied incident count across divisions,Weapon-filtered NOPD division counts; repeated CAD streaming and grep-based retries while chasing the APD sector count.,"The APD Edward and district counts followed the plan, but the first NOPD count was materially different from the recorded plan's division-level max, so one major component diverged.","log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log lines 12-99, 149-227, 385-385, 571-573; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json reasoning_chain_text",gpt-5.4-mini,complete
tasks_mini/k-3-d-1/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json,1,semantic_correct,Predicted answer '[42]' refers to the same final answer as expected '42'; formatting or brackets do not change meaning.,1.0,"1) Use search_ideal to find NYPD complaint dataset(s) and shooting incidents dataset for 2023 filtered by borough.
2) Peek relevant files to confirm schema.
3) Query complaint file for Bronx 2023 to find most common offense and its complaint count using query_ideal.
4) Query shooting incidents file for Bronx 2023 to count total shooting incidents using query_ideal.
5) Compute ratio (complaint_count / shooting_count) and round to nearest integer, then submit_answer.","1. Determine the northernmost borough of New York City. | 2. For that borough in 2023 complaint records, identify the most common offense and count complaints for that offense. | 3. For that same borough in 2023 shooting records, count total shooting incidents, divide the complaint count from step 2 by this shooting count, and return the rounded integer.",followed,none,"Recovered the Bronx complaint count, counted Bronx shootings in 2023, divided the two, and submitted [42].",,Chunked complaint-file processing and a separate shooting-file query were used to work through the large source files.,"The run executed the borough identification, complaint count, shooting count, and ratio calculation required by the recorded plan, with only implementation details varying because of file size.",log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log lines 65-126; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json reasoning_chain_text,gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json,0,semantic_incorrect,Predicted answer '[5]' is not semantically equivalent to expected '32'.,0.0,"1) Peek the apd-searches-by-type rows.txt to confirm columns and filter for Occurred Year=2023 and Sector != 'Unknown'. (peek_file)
2) Query that file to find which Sector has the most searches in 2023 (query_ideal).
3) Peek the apd-use-of-force rows.txt to confirm columns and schema (peek_file).
4) Query the APD dispatch/incident dataset (need to find 'apd-dispatch' or 'apd-incident' dataset) to find, within the sector from step 2, which Council District had the most dispatch-system incident records in 2023. Use search to find dispatch dataset if necessary. (search_ideal then peek/query_ideal)
5) Query the apd-use-of-force dataset to count 2023 incidents in that Council District where 'Used Taser(s)' indicates tasers were used and officers applied force (filter Force Level/Used Taser(s)). (query_ideal)
6) Use Austin incorporation year from Wikipedia (peek_file/read_file) to compute centuries passed and convert count to per century, round integer, and submit answer (submit_answer).","1. Determine Austin's incorporation year for the per-century calculation. | 2. In 2023 APD search records, identify the patrol sector excluding Unknown with the most searches. | 3. Within the sector from step 2, find the Austin City Council district with the most 2023 dispatch-system incident records. | 4. Count 2023 APD incident records in the district from step 3 where officers applied force and tasers were used, convert that count to an average per century using the year from step 1, and return the rounded integer.",partially_followed,operation_mismatch,"Found the most searched APD sector as Charlie, but then switched to sampled and grep-derived council-district counts for the CAD step and answered [5] instead of the planned per-century taser-use result.","within sector Charlie, find the council district with the most 2023 dispatch-system incidents; count 2023 use-of-force incidents in that district with Used Taser(s) > 0; convert that count to a per-century value using Austin's incorporation year",grep_result parsing; first-500k sampling; exploratory sector scans; district-3 estimate; multiple retries after tool limits.,"It stayed on the right source family, but the council-district and taser-count computation was replaced by an approximate, tool-limit-driven path, so a major planned step changed.","log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log lines 12-20, 193-227, 253-384, 571-573; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json reasoning_chain_text",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_10.json,0,semantic_incorrect,Predicted answer '[145]' is not semantically equivalent to expected '119'.,0.0,,"1. Determine the city where Orange County Public Schools is based. | 2. Using the relevant school-location records, determine the county associated with that city. | 3. Count public schools in the county from step 2 for school year 2022-2023. | 4. Count private schools in that same county for school year 2021-2022, then subtract this count from the public-school count from step 3.",not_comparable,plan_missing,,,,No explicit plan() or plan_ideal() call was found in the raw log for this mode.,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,,complete
tasks_mini/k-3-d-2/task_11.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_11.json,1,semantic_correct,Predicted answer '[115]' refers to the same final answer as expected '115'; formatting or brackets do not change meaning.,1.0,,"1. Identify Wyoming counties with between 150 and 180 veteran disability recipients in 2019. | 2. Identify Wyoming counties with between 260 and 280 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Wyoming county kept in step 2. | 4. For the county seat from step 3, determine the record high temperature ever recorded there and return the Fahrenheit integer.",not_comparable,plan_missing,,,,No explicit plan() or plan_ideal() call was found in the raw log for this mode.,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,,complete
tasks_mini/k-3-d-2/task_12.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json,1,semantic_correct,World's Largest Penguin refers to the same Cut Bank Penguin statue.,0.0,1) Query FY2019 dataset (query_ideal) to list Montana counties with total disability compensation recipients between 210 and 225. 2) Query FY2023 dataset (query_ideal) to list Montana counties with totals between 220 and 235. 3) Intersect the county names from steps 1 and 2 to identify the county present in both. 4) Find the county seat of that county (use web or internal dataset via search_ideal if available). 5) Find the iconic statue located in that county seat (use search_ideal to locate statue name). 6) Submit the statue name as the final answer.,"1. Identify Montana counties with between 210 and 225 veteran disability recipients in 2019. | 2. Identify Montana counties with between 220 and 235 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Montana county kept in step 2. | 4. For the county seat from step 3, determine the iconic statue located there and return the statue name.",mostly_followed,minor_skip,"Matched Glacier County across the 2019 and 2023 disability datasets, looked up Cut Bank as the county seat, and returned the world's largest statue of a penguin.",,Used an inclusive 210-225 / 220-235 range query and a failed Madison County search before landing on the final county.,"The final trajectory hit the intended datasets, county intersection, county seat, and statue lookup; the deviations were just search and interval noise.","log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log lines 12-58, 87-136; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json reasoning_chain_text",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_2.json,openai_gpt-5-mini,gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json,1,semantic_correct,Predicted answer '[93]' refers to the same final answer as expected '93'; formatting or brackets do not change meaning.,1.0,"1) Use search_ideal to find authoritative DC ward or neighborhood dataset or source linking Brightwood to a ward. 2) Use search_ideal to find DC crime incident datasets for 2020 and 2021 (by ward). 3) Peek or query the crime dataset file(s) to get counts by offense for the ward and year 2020 and 2021. 4) Compute most common offense in 2020, get counts for 2020 and 2021 for that offense, compute percentage change (2021 / 2020 *100) and round to nearest integer. 5) submit_answer with single bracketed integer.","1. Determine which Washington, D.C. ward contains Brightwood. | 2. In 2020 crime incidents for that ward, identify the most common offense and establish the 2020 incident-count baseline for that offense. | 3. In 2021 crime incidents for the same ward and offense, count incidents, compare that count to the 2020 count from step 2 as a percentage, and return the rounded integer.",mostly_followed,minor_skip,"Mapped Brightwood to Ward 4, found the 2020 most common offense and the 2021 count for that offense, and returned [93].",,Several schema-inspection and property-extraction repairs occurred before the final offense counts.,The same ward/offense/year-count path was followed to the correct ratio; the extra queries were exploratory detours rather than a new source family.,"log /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log lines 12-58, 77-105, 136-137; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json reasoning_chain_text",gpt-5.4-mini,complete
