benchmark,model_variant,mode,plan_family,follow_plan_label,n,pct_all,pct_comparable
kramabench,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,followed,30,36.1,48.4
kramabench,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,mostly_followed,29,34.9,46.8
kramabench,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,not_comparable,21,25.3,
kramabench,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,partially_followed,3,3.6,4.8
kramabench,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,followed,46,55.4,62.2
kramabench,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,mostly_followed,21,25.3,28.4
kramabench,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,not_comparable,9,10.8,
kramabench,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,partially_followed,7,8.4,9.5
kramabench,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,did_not_follow,6,7.2,7.3
kramabench,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,followed,47,56.6,57.3
kramabench,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,mostly_followed,23,27.7,28.0
kramabench,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,not_comparable,1,1.2,
kramabench,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,partially_followed,6,7.2,7.3
kramabench,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,followed,29,34.9,34.9
kramabench,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,mostly_followed,44,53.0,53.0
kramabench,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,partially_followed,10,12.0,12.0
lakeqa,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,did_not_follow,6,4.4,4.6
lakeqa,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,followed,24,17.8,18.5
lakeqa,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,mostly_followed,84,62.2,64.6
lakeqa,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,not_comparable,5,3.7,
lakeqa,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,dii,partially_followed,16,11.9,12.3
lakeqa,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,did_not_follow,4,3.0,3.2
lakeqa,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,followed,22,16.3,17.5
lakeqa,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,mostly_followed,87,64.4,69.0
lakeqa,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,not_comparable,9,6.7,
lakeqa,openai_gpt-5-mini,search_i_results_i_plani_computei_k5_skills_off,iii,partially_followed,13,9.6,10.3
lakeqa,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,did_not_follow,8,5.9,6.2
lakeqa,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,followed,42,31.1,32.3
lakeqa,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,mostly_followed,39,28.9,30.0
lakeqa,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,not_comparable,5,3.7,
lakeqa,openai_gpt-5.4-nano,search_i_results_i_pland_computei_k5_skills_off,dii,partially_followed,41,30.4,31.5
lakeqa,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,did_not_follow,3,2.2,2.3
lakeqa,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,followed,19,14.1,14.5
lakeqa,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,mostly_followed,72,53.3,55.0
lakeqa,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,not_comparable,4,3.0,
lakeqa,openai_gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,partially_followed,37,27.4,28.2
