task_id,model_variant,mode_variant,event_index,answer_failure_type,answer_failure_subtype,failure_stage,failure_summary,failure_evidence,confidence
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,1,tool_or_data_blocker,oversized_cad_file,data_access,"The needed APD CAD source was extremely large, so direct inspection/extraction of the 2022 mental-health rows in sector Edward was difficult and never completed cleanly.","Turn 8 | The APD computer-aided-dispatch file was about 1.44 GB with an estimated 5.2 million rows, and the agent only saw a small preview rather than a usable full extract.",medium
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,2,query_execution_error_loop,ideal_repair_failure,evidence_gathering,"The agent burned multiple cycles in SQL/code repair attempts that kept failing, which blocked progress on the unresolved branch of the task.","Turn 15 | A query_ideal repair attempt failed with a JSONDecodeError during SQL repair, and similar repair failures kept recurring afterward.",high
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,3,computation_or_aggregation_error,omitted_required_value,submission,"At submission, the agent compared only the APD use-of-force 1790 figure against an incomplete set of values and omitted the required 5021 mental-health count, so it chose the wrong maximum.","Turn 34 | The submitted reasoning only compared 1790 and the APD searches count of 3, and never incorporated the missing 5021 value that should have won the max comparison.",high
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,1,wrong_source_or_scope,used_cad_incidents_instead_of_searches_by_type_for_sector_hop,source_selection,"The agent selected the CAD incidents dataset, not the searches-by-type dataset, to determine the top sector, so the reasoning chain started from the wrong source family.","Turn 2 | ""Picked these datasets: - `s3://lakeqa-yc4103-datalake/datagov/apd-computer-aided-dispatch-incidents/files/rows.txt` - `s3://lakeqa-yc4103-datalake/datagov/apd-use-of-force/files/rows.txt`"" and Turn 3 | ""1) peek_file the CAD incidents dataset rows.txt ... 2) query_ideal CAD dataset to count incidents by Sector in 2023 excluding Unknown.""",high
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,2,evidence_available_answer_error,submitted_raw_count_instead_of_normalized_per_century_answer,submission,"The needed count evidence was available, but the final submission kept the raw taser count 59 instead of applying the incorporation-year normalization and rounding to 32.","Turn 16 | `submit_answer({""answer"": ""[59]"", ""reasoning"": ""Counted 2023 use-of-force records in the CAD top sector and top council district where 'Used Taser(s)'=1, then divided by (2023-1839)/100 to get per-century average and rounded to nearest integer.""})`",high
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,1,wrong_source_or_scope,countywide_instead_of_city_subset,evidence_gathering,"The public-school count was gathered from a countywide Orange County, FL query instead of the Orlando-specific subset required by the task.","Turn 6 | query_ideal({""dataset_id"": ""public-school-locations-current-23297"", ""file_path"": ""files/data-oyCYxF.txt"", ""sql"": ""SELECT COUNT(*) AS public_count FROM t WHERE \""NMCNTY\"" = 'Orange' AND \""STATE\"" = 'FL' AND \""SCHOOLYEAR\"" = '2022-2023'"", ""intent"": ""Count public schools in Orange County, FL for 2022-2023""}) ... Tool result: {""columns"": [""public_count""], ""rows"": [[288]]}",high
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,2,wrong_source_or_scope,countywide_instead_of_city_subset,evidence_gathering,"The private-school count repeated the same scope mistake, again using a countywide Orange County, FL query instead of Orlando-specific schools.","Turn 8 | query_ideal({""dataset_id"": ""private-school-locations-current-f7d96"", ""file_path"": ""files/data-FGgJBu.txt"", ""sql"": ""SELECT COUNT(*) AS private_count FROM t WHERE \""NMCNTY\"" = 'Orange' AND \""STATE\"" = 'FL' AND \""SCHOOLYEAR\"" = '2021-2022'"", ""intent"": ""Count private schools in Orange County, FL for 2021-2022""}) ... Tool result: {""columns"": [""private_count""], ""rows"": [[143]]}",high
tasks_mini/k-3-d-2/task_2.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,1,computation_or_aggregation_error,wrong_percentage_formula,computation,"The agent used percent change from 2020 to 2021, subtracting the counts and keeping the negative sign, instead of computing 2021 as a percentage of 2020.","Turn 14 | submit_answer({""answer"": ""[Ward 4; THEFT F/AUTO; -7%]"", ""reasoning"": ""Brightwood is in Ward 4 (Wikipedia). In Ward 4 the most common offense in 2020 was THEFT F/AUTO with 1,070 incidents; in 2021 there were 996 incidents. Percentage change = (996-1070)/1070 = -0.06916 => -7% rounded.""})",high
tasks_mini/k-3-d-2/task_2.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,2,evidence_available_answer_error,wrong_final_answer_format,submission,"Even after collecting the needed evidence, the agent submitted an answer that included the ward and offense labels plus the wrong percentage, rather than the required single integer answer.","Turn 14 | submit_answer({""answer"": ""[Ward 4; THEFT F/AUTO; -7%]"", ""reasoning"": ""Brightwood is in Ward 4 (Wikipedia). In Ward 4 the most common offense in 2020 was THEFT F/AUTO with 1,070 incidents; in 2021 there were 996 incidents. Percentage change = (996-1070)/1070 = -0.06916 => -7% rounded.""})",high
tasks_mini/k-3-d-2/task_5.json,openai_gpt-5-mini,search_i_results_i_pland_computei_k5_skills_off,1,wrong_source_or_scope,district_office_dataset_misidentified,source_selection,"The agent initially chose a postsecondary-school dataset as the closest match for the district-administrative-offices query, showing source confusion before later correction.","Turn 3 | pick({""s3_uris"": [""s3://lakeqa-yc4103-datalake/datagov/postsecondary-school-locations-current-5a74c/files/Postsecondary_School_Locations_Current_-3631565628879840217.txt""], ""reason"": ""The query asks for the current dataset related to district administrative offices with 2022–2023 coverage and location/address-type fields in California (Sacramento County). Among the candidates, only the postsecondary school locations current dataset is a geospatial FeatureCollection with current location/address attributes and a school-year field including 2022–2023, which is the closest match to a location-based administrative office dataset request.""})",medium
