benchmark,model_variant,mode_label,mode,n_total,n_complete,n_pending,n_comparable,n_not_comparable,n_followed_strict,followed_strict_fraction_all,followed_strict_pct_all,followed_strict_fraction_comparable,followed_strict_pct_comparable,n_followed_or_mostly,followed_or_mostly_fraction_all,followed_or_mostly_pct_all,followed_or_mostly_fraction_comparable,followed_or_mostly_pct_comparable,n_followed,followed_fraction_all,followed_pct_all,n_mostly_followed,mostly_followed_fraction_all,mostly_followed_pct_all,n_partially_followed,partially_followed_fraction_all,partially_followed_pct_all,n_missed_crucial_steps,missed_crucial_steps_fraction_all,missed_crucial_steps_pct_all,n_did_not_follow,did_not_follow_fraction_all,did_not_follow_pct_all,not_comparable_fraction_all,not_comparable_pct_all,n_pending_label,pending_fraction_all
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,83,83,0,83,0,33,33/83,39.8,33/83,39.8,58,58/83,69.9,58/83,69.9,33,33/83,39.8,25,25/83,30.1,13,13/83,15.7,8,8/83,9.6,4,4/83,4.8,0/83,0.0,0,0/83
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,83,83,0,83,0,47,47/83,56.6,47/83,56.6,70,70/83,84.3,70/83,84.3,47,47/83,56.6,23,23/83,27.7,8,8/83,9.6,5,5/83,6.0,0,0/83,0.0,0/83,0.0,0,0/83
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,83,83,0,83,0,31,31/83,37.3,31/83,37.3,57,57/83,68.7,57/83,68.7,31,31/83,37.3,26,26/83,31.3,11,11/83,13.3,10,10/83,12.0,5,5/83,6.0,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,83,83,0,83,0,38,38/83,45.8,38/83,45.8,54,54/83,65.1,54/83,65.1,38,38/83,45.8,16,16/83,19.3,12,12/83,14.5,11,11/83,13.3,6,6/83,7.2,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,83,83,0,83,0,37,37/83,44.6,37/83,44.6,67,67/83,80.7,67/83,80.7,37,37/83,44.6,30,30/83,36.1,5,5/83,6.0,11,11/83,13.3,0,0/83,0.0,0/83,0.0,0,0/83
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,83,83,0,83,0,31,31/83,37.3,31/83,37.3,51,51/83,61.4,51/83,61.4,31,31/83,37.3,20,20/83,24.1,13,13/83,15.7,14,14/83,16.9,5,5/83,6.0,0/83,0.0,0,0/83
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,135,135,0,134,1,20,20/135,14.8,20/134,14.9,62,62/135,45.9,62/134,46.3,20,20/135,14.8,42,42/135,31.1,26,26/135,19.3,40,40/135,29.6,6,6/135,4.4,1/135,0.7,0,0/135
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,135,135,0,135,0,35,35/135,25.9,35/135,25.9,78,78/135,57.8,78/135,57.8,35,35/135,25.9,43,43/135,31.9,25,25/135,18.5,29,29/135,21.5,3,3/135,2.2,0/135,0.0,0,0/135
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,135,135,0,135,0,28,28/135,20.7,28/135,20.7,69,69/135,51.1,69/135,51.1,28,28/135,20.7,41,41/135,30.4,26,26/135,19.3,34,34/135,25.2,6,6/135,4.4,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,135,135,0,135,0,9,9/135,6.7,9/135,6.7,34,34/135,25.2,34/135,25.2,9,9/135,6.7,25,25/135,18.5,21,21/135,15.6,62,62/135,45.9,18,18/135,13.3,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,135,135,0,135,0,13,13/135,9.6,13/135,9.6,38,38/135,28.1,38/135,28.1,13,13/135,9.6,25,25/135,18.5,21,21/135,15.6,63,63/135,46.7,13,13/135,9.6,0/135,0.0,0,0/135
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,135,135,0,135,0,8,8/135,5.9,8/135,5.9,26,26/135,19.3,26/135,19.3,8,8/135,5.9,18,18/135,13.3,15,15/135,11.1,66,66/135,48.9,28,28/135,20.7,0/135,0.0,0,0/135
