task_id,model_variant,mode_variant,event_index,answer_failure_type,answer_failure_subtype,failure_stage,failure_summary,failure_evidence,confidence
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,1,tool_or_data_blocker,unsupported_or_oversized_data_access,data_access,"Direct querying of the APD computer-aided dispatch incidents file failed because the source was too large for query_file, blocking the intended count extraction path.","Turn 15 | Tool logical error (status=error): {""error"": ""File too large to query directly (1377 MB). Use download + execute_code only if the source is tabular or JSON.""}",high
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,2,extraction_or_parsing_error,truncated_grep_result_misread,extraction,"The agent treated a truncated grep result from the CAD file as if it were the full sector count, concluding Edward had only 20 mental-health incidents instead of the true 5021.",Turn 31 | total_matches 20 ... count_found_in_returned_matches 20 ... Full file path: /home/ec2-user/eval_eqa/exploratory-qa-eval/.sandbox_isolated/task_1027100_1778833379891/apd-computer-aided-dispatch-incidents/files_rows.txt.grep_result.json,high
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,3,incomplete_evidence_not_enough_turns,tool_budget_exhausted,submission,"The run hit the 30/30 tool limit before the APD CAD count was correctly recovered, forcing a best-effort submission with incomplete evidence.",Turn 32 | Tool call cancelled. Tool limit reached (30/30 calls used). You must stop using other tools and immediately call submit_answer with your best current answer and reasoning.,high
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,1,tool_or_data_blocker,unsupported_or_oversized_data_access,data_access,"Directly querying the APD CAD incidents file failed because it was too large, and the fallback download attempt was malformed, slowing the evidence extraction path.","Turn 6 | query_file({""dataset_id"": ""apd-computer-aided-dispatch-incidents"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT \""Council District\"", COUNT(*) AS cnt\nFROM t\nWHERE \""Response Year\"" = 2023 AND \""Sector\"" = 'Charlie'\nGROUP BY \""Council District\""\nORDER BY cnt DESC\nLIMIT 1;""}) ... Tool logical error (status=error): {""error"": ""File too large to query directly (1377 MB). Use download + execute_code only if the source is tabular or JSON.""} | Turn 7 | download({}) ... Validation failed for input parameters: 1 validation error for DownloadTool",high
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,2,wrong_source_or_scope,carried_sector_filter_into_final_count,evidence_gathering,"The final use-of-force count was taken from the wrong row subset because the agent incorrectly kept the sector='Charlie' constraint when the task only required council district 1, producing 33 instead of the needed 59.","Turn 29 | query_file({""dataset_id"": ""apd-use-of-force"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT COUNT(*)\nFROM t\nWHERE (CAST(strftime('%Y', \""Occurred Date\"") AS VARCHAR) = '2023')\nAND \""Council District\"" = 1\nAND \""Sector\"" = 'Charlie'\nAND \""Used Taser(s)\"" = 1;""}) ... rows: [[33]] | Turn 33 | submit_answer({""answer"": ""[18]"", ""reasoning"": ""Found sector with most searches = Charlie (apd-searches-by-type). Counted 2023 use-of-force reports in Sector=Charlie and Council District=1 where Used Taser(s)=1 → 33 ... 33*(100/184)=17.9348 → rounded = 18.""})",high
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,1,query_execution_error_loop,repeated_duckdb_binder_errors,evidence_gathering,"The agent repeatedly issued malformed query_file SQL against the JSON/GeoJSON tables, hitting binder errors instead of extracting counts directly.","Turn 7 | query_file(... ""SELECT properties.\""NMCNTY\"" AS county_name, COUNT(*) AS public_count FROM t GROUP BY properties.\""NMCNTY\"" ..."") -> ""Binder Error: Referenced table \""properties\"" not found!""; Turn 8 | query_file(... ""SELECT t.properties->>'NMCNTY' AS county_name, COUNT(*) AS public_count FROM t GROUP BY t.properties->>'NMCNTY' ..."") -> ""Binder Error: Values list \""t\"" does not have a column named \""properties\""""; Turn 14 | query_file(... ""SELECT t.features.properties->>'NMCNTY' ..."") -> ""Cannot extract field 'properties' from expression \""features\""""; Turn 15 | query_file(... ""SELECT properties.\""NMCNTY\"" ..."") -> ""Referenced table \""properties\"" not found!""",high
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,2,wrong_source_or_scope,missing_city_filter,computation,"The final counts were computed over Orange County only, omitting the required Orlando city filter, so the subtraction used 1110 and 421 instead of the needed city-and-county counts.","Turn 22 | execute_code(...) includes only `if props.get('NMCNTY') == 'Orange County' and props.get('SCHOOLYEAR') == '2022-2023':` for public schools and `if props.get('NMCNTY') == 'Orange County' and props.get('SCHOOLYEAR') == '2021-2022':` for private schools, with no CITY == 'ORLANDO' filter; output: `1110`, `421`, `689`; Turn 23 | submit_answer(... ""Counted public schools in Orange County in 2022-2023 (1110) ... private schools in Orange County in 2021-2022 (421); difference = 1110 - 421 = 689."")",high
tasks_mini/k-3-d-2/task_4.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,1,query_execution_error_loop,sql_schema_mismatch,evidence_gathering,"A SQL query was attempted against the crime file as if `WARD` and `OFFENSE` were top-level columns, but the file shape did not match that assumption and the query failed.","Turn 17 | `query_file({""dataset_id"": ""crime-incidents-in-2019"", ""file_path"": ""files/data.txt"", ""sql"": ""SELECT \""OFFENSE\"", COUNT(*) AS cnt FROM t WHERE \""WARD\"" = '1' GROUP BY \""OFFENSE\"" ORDER BY cnt DESC LIMIT 20""})` ... `Binder Error: Referenced column ""WARD"" not found in FROM clause! Candidate bindings: ""crs""`",high
tasks_mini/k-3-d-2/task_4.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,2,wrong_source_or_scope,bid_instead_of_ward,evidence_gathering,"After finding Ward 1 for Adams Morgan, the agent still filtered the crime data by `BID='ADAMS MORGAN'` rather than the required Ward 1 scope, so it computed the offense and yearly counts on the wrong subset and returned the wrong max.","Turn 26 | `Top offenses in 2019 for BID=ADAMS MORGAN:` ... `[('THEFT/OTHER', 170), ...]` ; Turn 27 | `2020: 133` `2021: 160` `max: 160` ; Turn 29 | `Detected that Adams Morgan is in Ward 1 from the crime files. For BID='ADAMS MORGAN', 2019 most common offense was THEFT/OTHER (170). Counts for THEFT/OTHER in Adams Morgan: 2020 = 133, 2021 = 160; maximum is 160.`",high
tasks_mini/k-3-d-2/task_5.json,openai_gpt-5-mini,search_i_results_i_plani_k5_skills_off,1,extraction_or_parsing_error,public_school_count_misread,extraction,"The agent extracted the Sacramento County public-school count as 386 for 2022-2023, but the correct count was 203.","Turn 19 | ""Use parse_xml_records output already for public schools: extract Sacramento County public school count = 386 (from previous parse).""",high
