task_id,model_variant,runner_model,mode,plan_family,result_csv,log_path,plan_file,semantic_match,semantic_bucket,semantic_reason,exact_match,recorded_plan_text,ideal_reasoning_chain,follow_plan_label,divergence_type,trajectory_summary,missed_ideal_steps,extra_relevant_steps,follow_plan_reason,evidence,auditor_model,audit_status
tasks_mini/k-1-d-1/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,"1) Use search_ideal result dataset for December 12-month-ending drug overdose death counts by state.
2) Inspect file schema with peek_file (or query LIMIT 1) to find indicator for all drug overdose deaths and year/month/period columns.
3) SQL query: filter to Period = ""month ending"" + Month=""December"" + indicator=all drug overdose deaths; aggregate across states to get annual total for each year 2016-2023 excluding national aggregate.
4) Compute year-over-year growth rate for each year vs previous year, then compute growth-amplified score = annual_total*(1+growth_rate).
5) Return the year with maximum score.","1. Filter to December 12-month-ending drug overdose death counts across U.S. states, excluding the national aggregate, sum annual totals needed for year-over-year growth, compute each 2016 through 2023 growth-amplified overdose burden score, and return the year with the highest score.",followed,none,"Searched the VSRR overdose dataset, inspected its schema, filtered December 12-month-ending all-state overdose deaths, computed YoY growth and the growth-amplified score, and submitted 2021.",,,"The run followed the recorded dataset choice, filters, SQL aggregation, growth computation, and final answer shape with no meaningful drift.","/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log:12,26,32,38,65; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_2.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,"1) Inspect NY Lotto dataset file schema/columns (peek_file).
2) Query bonus ball numbers grouped by draw year 2005-2010; compute avg, stddev, and BVAL=avg+0.5*stddev (query_ideal).
3) Rank years by BVAL desc, earliest year on ties (SQL).
4) Submit the winning year as [Answer].","1. For New York Lotto draws from 2005 through 2010, group bonus ball numbers by draw year, compute each year's BVAL as the average plus half of the standard deviation, and return the year with the highest BVAL using the earlier year as the tie-breaker.",followed,none,"Searched the NY Lotto dataset, peeked the schema, computed yearly bonus-ball BVAL = avg + 0.5*stddev for 2005-2010, and returned 2007.",,,"The executed path matches the recorded plan: dataset discovery, schema inspection, BVAL computation, ranking, and single-year submission.","/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log:12,26,32,38,65; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_2.json",gpt-5.4-mini,complete
tasks_mini/k-1-d-1/task_3.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,"1) Use search_ideal to find a dataset with CTA bus monthly passenger totals by route including 2005–2010 (or covering 2006–2010).
2) Inspect candidate dataset file schema with peek_file (columns for month/year and passenger counts).
3) Use query_ideal (SQL) to sum monthly passengers across all routes by year for 2005–2010, producing annual totals.
4) Compute absolute YoY % change in annual totals and then PIAL = annual_total*(1+abs(yoy_pct)).
5) Select year in 2006–2010 with minimum PIAL; if tie, pick earliest year.
6) Submit the selected year as [value].","1. Sum monthly CTA bus passenger totals across all routes by year for the period needed to compare 2006 through 2010 against the prior year, compute each year's PIAL from the annual total and absolute year-over-year percentage change, and return the year with the lowest PIAL using the earlier year as the tie-breaker.",mostly_followed,minor_skip,"Searched the CTA bus dataset, peeked schema, first computed annual totals only, then corrected to the PIAL computation and submitted 2006.",,Initial annual-totals-only query before the correct PIAL query,"The answer-producing path was followed, with one harmless exploratory pass that skipped the PIAL calculation before immediately correcting it.","/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log:12,32,38,41,73,97; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-1-d-1/task_3.json",gpt-5.4-mini,complete
tasks_mini/k-2-d-3/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,"1) Find 2022 NOPD incident dataset; compute max incidents where officer applied a weapon across divisions. 2) Find 2022 APD search dataset; identify patrol sector (excluding Unknown) with most searches due to illegal items. 3) Using that sector, count 2022 APD mental-health call-log incidents. 4) Find 2022 APD officer-applied-weapon incidents; compute max incident count across Austin City Council districts. 5) Compare the three values and return the greatest number.","1. For 2022 NOPD incident records, determine the largest count of incidents where an officer applied a weapon across divisions. | 2. For 2022 APD search records, identify the patrol sector excluding Unknown with the most searches due to illegal items. | 3. Using the patrol sector from step 2, count 2022 APD mental-health call-log incidents in that sector. | 4. For 2022 APD officer-applied-weapon incident records, determine the largest count across Austin City Council districts, then compare the three incident counts and return the greatest value.",mostly_followed,minor_skip,"Queried NOPD, APD search, APD CAD, and APD use-of-force data to compute the three incident counts and returned the maximum value 5021.",,Several repair and re-query attempts around the APD CAD step,"The run stayed on the intended multi-dataset comparison and reached the same answer-producing comparison, with extra retries caused by tool limits.","/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log:12,18,32,46,63,80,110,130,155,281; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-2-d-3/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-1/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json,1,semantic_correct,Predicted answer refers to the same final answer as expected; formatting or brackets do not change meaning.,1.0,"1) Find NYC northernmost borough in complaint/shooting datasets via borough codes/lat ordering if available (or use known max north). 2) Locate 2023 complaint dataset with offense-level counts by borough; extract for that borough total by offense and identify most common offense count. 3) Use NYPD shooting incident dataset to count 2023 shooting incidents for that same borough. 4) Compute ratio = (complaint count for most common offense) / (shooting count), round to nearest integer, and return.","1. Determine the northernmost borough of New York City. | 2. For that borough in 2023 complaint records, identify the most common offense and count complaints for that offense. | 3. For that same borough in 2023 shooting records, count total shooting incidents, divide the complaint count from step 2 by this shooting count, and return the rounded integer.",mostly_followed,minor_skip,"Used NYC crime data to find the northernmost borough from shooting records, the dominant complaint offense in 2023, the complaint/shooting ratio, and submitted 42.",,A few exploratory queries and repairs while locating the borough and offense fields,The source family and chained comparisons match the recorded plan; the extra work was just search/repair churn around the same datasets.,"/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log:12,48,55,85,107,153,202; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-1/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_1.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json,0,semantic_incorrect,Prediction '[0]' denotes a different value or entity from the expected answer '32'.,0.0,"1) Find Austin incorporation year.
2) Search APD 2023 records to identify patrol sector with most searches (excluding 'Unknown').
3) For that sector, find Austin City Council district with most 2023 dispatch-system incident records.
4) In that council district, count 2023 incidents where officers applied force and tasers were used.
5) Convert the count to an average per century using incorporation year; round and return integer.","1. Determine Austin's incorporation year for the per-century calculation. | 2. In 2023 APD search records, identify the patrol sector excluding Unknown with the most searches. | 3. Within the sector from step 2, find the Austin City Council district with the most 2023 dispatch-system incident records. | 4. Count 2023 APD incident records in the district from step 3 where officers applied force and tasers were used, convert that count to an average per century using the year from step 1, and return the rounded integer.",did_not_follow,operation_mismatch,"Started with generic/noop and schema-test SQL on APD data, never completed the Austin incorporation-year through taser-per-century computation, and ended with a failure answer of 0.",Austin incorporation year; APD search-sector identification; sector-to-district lookup; 2022 taser-use count and per-century conversion,Multiple noop/test queries and repair attempts unrelated to the recorded computation,This run never executed the planned source/filter/computation chain; the trace is dominated by placeholder and test SQL instead of the required Austin/APD steps.,"/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log:12,41,67,87,111; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_1.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_10.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_10.json,0,semantic_incorrect,Prediction '[145]' denotes a different value or entity from the expected answer '119'.,0.0,"1) Find OCPS headquarters city (via search/read Wikipedia or dataset text). 
2) Use school-location dataset to map that city to its county. 
3) From public-school dataset, count public schools in that county for school year 2022-2023. 
4) From private-school dataset, count private schools in same county for school year 2021-2022. 
5) Subtract and submit.","1. Determine the city where Orange County Public Schools is based. | 2. Using the relevant school-location records, determine the county associated with that city. | 3. Count public schools in the county from step 2 for school year 2022-2023. | 4. Count private schools in that same county for school year 2021-2022, then subtract this count from the public-school count from step 3.",mostly_followed,minor_skip,"Identified Orlando/Orange County, counted public and private schools for the county, repaired the GeoJSON access pattern, and submitted the county subtraction.",,Initial all-record public-school count and county-code discovery / repair attempts,The main county-level path was executed and the subtraction was completed; the extra queries were just repair work to reach the usable filter shape.,"/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log:12,69,75,102,132,159,189,219; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_10.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_11.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_11.json,0,semantic_incorrect,Prediction '[108]' denotes a different value or entity from the expected answer '115'.,0.0,1) SQL on FY2019 disability recipients by county to find WY counties with total between 150-180. 2) SQL on FY2023 disability recipients by county to find WY counties with total between 260-280 and intersect with step 1. 3) Determine county seat for that county (from authoritative dataset/search if needed). 4) Use NOAA/meteorological dataset for Wyoming station at that seat to get all-time record high temperature; return integer in °F.,"1. Identify Wyoming counties with between 150 and 180 veteran disability recipients in 2019. | 2. Identify Wyoming counties with between 260 and 280 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Wyoming county kept in step 2. | 4. For the county seat from step 3, determine the record high temperature ever recorded there and return the Fahrenheit integer.",mostly_followed,minor_skip,"Intersected Wyoming county recipient ranges, found Big Horn County, looked up Basin as the county seat, and searched the record-high temperature before submitting 108.",,County-seat and temperature lookups via web/search instead of a direct dataset path,The intended county-intersection and county-seat chain was followed; only the last lookup path was somewhat improvised.,"/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log:12,29,35,56,77,112,132; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_11.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_12.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json,1,semantic_correct,The prediction names the same statue; omitting the leading article does not change the entity.,0.0,"1) Query FY2019 Montana counties for totals between 210-225 recipients.
2) Query FY2023 Montana counties for totals between 220-235 recipients.
3) Intersect counties from steps 1 and 2 to get the county that qualifies both years.
4) Find the county seat for that county using a Montana county-seat dataset.
5) From the county seat, find the iconic roadside attraction statue name (likely from a attractions/landmark dataset or Wikipedia-style content).","1. Identify Montana counties with between 210 and 225 veteran disability recipients in 2019. | 2. Identify Montana counties with between 220 and 235 veteran disability recipients in 2023, and keep the county that also qualified in step 1. | 3. Determine the county seat of the Montana county kept in step 2. | 4. For the county seat from step 3, determine the iconic statue located there and return the statue name.",mostly_followed,minor_skip,"Intersected Montana county ranges, identified Glacier County, found Cut Bank as the county seat, and answered with the Cut Bank Penguin.",,Extra county-seat / attraction search queries while confirming the final statue,"The run followed the recorded county intersection and county-seat chain through to the statue lookup, with only harmless search churn.","/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log:12,29,35,56,77,94,100,112; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_12.json",gpt-5.4-mini,complete
tasks_mini/k-3-d-2/task_2.json,openai_gpt-5.4-nano,gpt-5.4-nano,search_i_results_i_plani_computei_k5_skills_off,iii,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/results_semantic/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/eval_results.csv,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json,0,semantic_incorrect,Prediction '[8]' denotes a different value or entity from the expected answer '93'.,0.0,"1) Determine which DC ward contains Brightwood using ward/neighborhood fields from 2020/2021 crime datasets.
2) In 2020 incidents for that ward, compute offense counts and find most common offense.
3) Count incidents of that offense in 2020 (baseline).
4) Count incidents of that offense in 2021 for same ward.
5) Compute percentage = (2021_count / 2020_count)*100, round to nearest integer and return.","1. Determine which Washington, D.C. ward contains Brightwood. | 2. In 2020 crime incidents for that ward, identify the most common offense and establish the 2020 incident-count baseline for that offense. | 3. In 2021 crime incidents for the same ward and offense, count incidents, compare that count to the 2020 count from step 2 as a percentage, and return the rounded integer.",partially_followed,output_mismatch,"Searched for Brightwood ward, probed 2020/2021 DC crime records, and used several repair attempts, but never completed the intended ward/offense percentage chain before submitting 8.",Identify Brightwood ward; determine 2020 most common offense in that ward; count 2021 incidents for that offense; compute and round the percentage change,Multiple exploratory ward/neighborhood queries and dummy repairs unrelated to the final ratio calculation,"The trace touched the right data family, but the core offense-baseline and year-over-year percentage computation was not completed, so the final output is not plan-consistent.","/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5.4-nano/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log:12,26,41,59,82,92,109,120,150,170,180,191,201,211,245,291,403; plan_file /Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/plans_mini/k-3-d-2/task_2.json",gpt-5.4-mini,complete
