benchmark,pair_label,model_variant,runner_model,task_id,comparison_mode,ideal_mode,comparison_log,ideal_log,comparison_start_line,ideal_start_line,comparison_event_count,ideal_event_count,trajectory_similarity,divergence_type,comparison_trajectory_summary,ideal_trajectory_summary,aligned_steps,divergent_steps,similarity_reason,evidence,auditor_model,audit_status
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-1-d-1/task_1.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_1.log,0,27,8,11,partially_resembles,operation_mismatch,"The comparison trajectory uses the same VSRR overdose-death dataset and the same overall yearly-growth computation path, but it directly aggregates Predicted Value instead of following the ideal's Data Value-based queries and indicator-discovery step.","The ideal trajectory inspects the same dataset, verifies the relevant indicator labels, then computes yearly totals from Data Value and derives a growth-amplified score to identify 2021.",same dataset family (vsrr-provisional-drug-overdose-death-counts); file preview via peek_file; annual aggregation by year for December 12-month-ending overdose death rows; year-over-year growth computation; final answer [2021],comparison skips the indicator-discovery query; comparison sums Predicted Value rather than Data Value; comparison uses a more direct aggregation path and omits some verification/repair loops present in the ideal,"Both trajectories reach the same answer using the same dataset and essentially the same annual-growth reasoning, but the comparison changes a meaningful computation detail (Predicted Value vs Data Value) and omits the ideal's indicator validation hop, so it is not a complete match.","Comparison log: L13 search_ideal query for vsrr-provisional-drug-overdose-death-counts; L27-L28 peek_file on files/rows.txt; L33 query_ideal summing ""Predicted Value"" with December 12 month-ending filter; L110-L111 submit_answer [2021]. Ideal log: L33-L34 peek_file on same dataset/file; L39 query_ideal summing ""Data Value"" for December 12 month-ending rows; L67 indicator-discovery query; L97/L140/L160 growth calculations; L187-L188 submit_answer [2021].",gpt-5.4-mini,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-1-d-1/task_2.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_2.log,0,13,7,7,partially_resembles,operation_mismatch,"The comparison trajectory searched the same NY Lotto dataset, inspected the same file, computed yearly Bonus # statistics for 2005–2010, and submitted [2007].","The ideal trajectory searched the same NY Lotto dataset, inspected the same file, computed yearly Bonus # statistics for 2005–2010, and submitted [2007].",searches the New York Lotto dataset; peeks the same rows.txt file in lottery-ny-lotto-winning-numbers-beginning-2001; filters to years 2005-2010; computes per-year Bonus # summary statistics; submits answer [2007],"comparison uses STDDEV_SAMP and CAST(strftime('%Y', ...)) AS INTEGER in the query; ideal uses STDDEV_POP and strftime('%Y', ...) as a string year with a BETWEEN filter; the exact BVAL computation differs slightly despite the same final answer","Both trajectories follow the same source family and answer-producing path, but they differ in a meaningful computation step (sample vs population standard deviation and year handling), so they are not completely identical even though they converge on the same output.",Comparison: L13 search_ideal query for New York Lotto bonus ball dataset; L27-L28 peek_file on lottery-ny-lotto-winning-numbers-beginning-2001; L33 query_ideal uses STDDEV_SAMP and year cast; L63-L64 submit_answer [2007]. Ideal: L19 search_ideal query for New York Lotto draw results dataset; L33-L34 peek_file on same dataset/file; L39 query_ideal uses STDDEV_POP and year BETWEEN filter; L58-L59 submit_answer [2007].,gpt-5.4-mini,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-1-d-1/task_3.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-1-d-1/task_3.log,0,13,7,8,closely_resembles,minor_detour,"The comparison trajectory searches for the CTA bus ridership dataset, inspects the same CSV file, queries annual totals for the relevant years, computes PIAL, and submits the same final answer.","The ideal trajectory searches for the CTA bus ridership dataset, inspects the same CSV file, queries annual totals for 2005-2010, explicitly computes PIAL values, and submits the same final answer.",Searches for the CTA monthly bus ridership dataset; identifies the same dataset file; aggregates MonthTotal by year over the relevant period; computes PIAL from year-over-year change; submits [2006] as the answer,Comparison uses a broader search query and peeks 200 rows instead of 5; comparison logs a direct query_ideal step without the explicit separate execute_ideal computation shown in the ideal trajectory; ideal has an explicit intermediate execute_ideal calculation step,"Both trajectories follow the same source family and answer-producing chain: dataset search, file inspection, annual aggregation of MonthTotal for CTA bus ridership, PIAL computation, and the same final answer [2006]. The differences are limited to query wording, peek size, and logging/computation packaging.",Comparison: L13 search_ideal; L27-L28 peek_file; L33 query_ideal; L53-L54 submit_answer. Ideal: L19 search_ideal; L33-L34 peek_file; L39 query_ideal; L67 execute_ideal; L105-L106 submit_answer.,gpt-5.4-mini,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-2-d-3/task_1.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-2-d-3/task_1.log,0,13,48,41,partially_resembles,operation_mismatch,"The comparison trajectory follows the same overall multi-dataset path (NOPD use-of-force, APD searches-by-type, APD CAD mental health, APD use-of-force) but relies on extra grep/read detours and never completes the same mental-health-sector computation as the ideal trajectory.",The ideal trajectory systematically computes counts from the same three datasets using SQL and a code fallback to get the APD mental-health sector count and the top weapon-related use-of-force counts.,searched for NOPD use-of-force dataset; peeked NOPD use-of-force file; queried NOPD 2022 division weapon-related counts; searched APD searches-by-type dataset; peeked APD searches file; queried APD 2022 illegal-item searches by sector; searched APD CAD mental-health dataset; peeked APD CAD file; queried APD 2022 mental-health incidents by sector; searched APD use-of-force dataset; peeked APD use-of-force file; queried APD 2022 weapon-use counts by council district,comparison added grep_file/read_file detours on NOPD and APD CAD instead of the ideal's direct SQL/code path; comparison did not complete the APD mental-health sector count with the same computation strategy and instead proceeded with an unresolved/approximate path; comparison's final submission was based on a different aggregation narrative than the ideal trajectory,"Both trajectories work through the same dataset family and major analytical hops, but the comparison diverges in the APD mental-health computation and uses extra ad hoc file inspection steps rather than the ideal's more direct SQL plus code fallback, so it is only a partial match.","Comparison: NOPD/APD/APD CAD/APD UOF sequence at L13-L14, L29-L35, L148-L168, L245-L265, L379-L435, L440-L447; Ideal: corresponding sequence at L19-L39, L104-L124, L154-L174, L232-L252, L342-L366, L390-L397, L539-L579.",gpt-5.4-mini,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-3-d-1/task_1.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-1/task_1.log,0,13,11,14,closely_resembles,minor_detour,"The comparison trajectory searches for the same two NYPD datasets, inspects both files, computes the Bronx 2023 complaint count and shooting count, and submits the same ratio answer.","The ideal trajectory searches for the same two NYPD datasets, peeks both files, computes the Bronx 2023 complaint count and shooting count, then rounds their ratio and submits [42].",search for NYPD complaint dataset; search for NYPD shooting incident dataset; inspect complaint CSV schema; compute Bronx 2023 most common complaint offense count; compute Bronx 2023 shooting incident count; submit ratio answer [42],comparison used peek_multiple instead of separate peek_file calls; comparison inserted an extra search before peeking; comparison shows a retry/continued execute_ideal loop rather than the ideal's cleaner single compute step and explicit plan step,"Both trajectories follow the same source family and same answer-producing chain: locate the NYPD complaint and shooting historic datasets, inspect their CSV headers, compute the Bronx 2023 complaint count and shooting count, then divide and round to 42. Differences are limited to small tooling/ordering variations and an extra search/retry loop.",Comparison: L13 and L29 search the complaint and shooting datasets; L45-L46 peek_multiple both files; L51 compute complaint count; L71 and L91 execute complaint aggregation; L114 compute shooting count; L131 submit [42]. Ideal: L19 and L33 search the same datasets; L47-L54 peek both files; L59 compute complaint count; L81 execute complaint aggregation; L100 compute shooting count; L120-L126 submit [42].,gpt-5.4-mini,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-3-d-2/task_1.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_1.log,0,57,50,46,misses_crucial_steps,source_mismatch,"The comparison trajectory pivots to APD use-of-force and CAD grep-based heuristics, eventually estimating a district-based taser count for Sector George, then answers [3].","The ideal trajectory identifies Sector Charlie from apd-searches-by-type, then uses CAD incidents to find the top council district within Charlie before estimating taser-use incidents and answering [5].",Both inspect APD datasets; both use apd-computer-aided-dispatch-incidents; both consult Austin Wikipedia/incorporation year; both attempt a sector→district→use-of-force style final estimate,Ideal starts with apd-searches-by-type and finds Sector Charlie; comparison starts with apd-use-of-force and grep/search on CAD; ideal computes the top council district within Charlie from 2023 CAD incidents; comparison instead infers George/District 9 from grep results and counts taser use there; final outputs differ [5] vs [3],"They share the broad APD/Austin-dataset family and end with a similar arithmetic estimate, but the comparison skips the ideal’s crucial first hop of using apd-searches-by-type to identify Charlie and replaces the district-selection computation with a different sector/district path.","Comparison: L13-L33 starts on apd-use-of-force, then L122-L178 and L257-L269 uses apd-computer-aided-dispatch-incidents grep/code, L418 submits [3]. Ideal: L63-L69 starts on apd-searches-by-type, L107-L139 and L180-L200 uses apd-computer-aided-dispatch-incidents to find Charlie/district counts, L245-L251 consults Austin Wikipedia, L384 submits [5].",gpt-5.4-mini,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-3-d-2/task_10.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,0,0,11,15,not_comparable,ideal_plan_missing,,,,,No explicit plan_ideal() call was found in the ideal trajectory log.,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_10.log,mechanical,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-3-d-2/task_11.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,0,0,47,56,not_comparable,ideal_plan_missing,,,,,No explicit plan_ideal() call was found in the ideal trajectory log.,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_11.log,mechanical,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-3-d-2/task_12.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_12.log,0,27,11,9,closely_resembles,minor_detour,"The comparison trajectory uses the same two county-filtering queries on Montana disability recipient counts, then searches Cut Bank and reads its Wikipedia page before submitting an answer naming the penguin statue.","The ideal trajectory also uses the same two Montana county-filter queries, then searches Cut Bank and reads its Wikipedia page, with an extra unrelated search detour before submitting the same answer concept.","Search for Montana disability-recipient county data; query FY2019 Montana counties in the 210-225 range; query FY2023 Montana counties in the 220-235 range; search Cut Bank statue information; read Cut Bank, Montana Wikipedia page; submit answer based on Cut Bank's penguin statue","Comparison omits the ideal trajectory's extra Madison County statue search detour; comparison answer is phrased as [Cut Bank Penguin] while ideal answer is [World's Largest Penguin], but both refer to the same statue",Both trajectories follow the same answer-producing chain from county-range filtering to identifying Glacier County/Cut Bank and then confirming the penguin statue on Wikipedia; the only differences are a harmless extra search in the ideal path and a minor answer wording variation.,"Comparison log: L13 search_ideal, L30-L31 peek_multiple, L36 query_ideal FY2019, L58 query_ideal FY2023, L76 search_ideal, L90-L91 read_file, L96-L97 submit_answer. Ideal log: L33 query_ideal FY2019, L55 query_ideal FY2023, L74 search_ideal, L88-L89 read_file, L94 search_ideal (extra detour), L108-L109 submit_answer.",gpt-5.4-mini,complete
lakeqa,nii_vs_iii,openai_gpt-5-mini,gpt-5-mini,tasks_mini/k-3-d-2/task_2.json,search_i_results_i_plann_computei_k5_skills_off,search_i_results_i_plani_computei_k5_skills_off,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plann_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log,/Users/austinsenna/Documents/projects/daplab/exploratory-qa-eval/logs/modes/openai_gpt-5-mini/search_i_results_i_plani_computei_k5_skills_off/tasks_mini/k-3-d-2/task_2.log,0,13,18,19,partially_resembles,operation_mismatch,"The comparison trajectory identifies Brightwood as Ward 4, queries 2020 and 2021 Ward 4 crime counts, and submits a percent-change style answer of -7% based on THEFT F/AUTO.","The ideal trajectory identifies Brightwood as Ward 4, queries 2020 and 2021 Ward 4 crime counts, and submits a ratio answer of 93 after computing 2021_count / 2020_count * 100 for THEFT F/AUTO.",searches Brightwood source; obtains Brightwood Wikipedia page; finds DC crime incidents datasets for 2020 and 2021; inspects crime file structure; filters to Ward 4; identifies THEFT F/AUTO as the top offense; uses both 2020 and 2021 counts; submits final answer,"comparison uses peek_file on Brightwood page while ideal uses read_file/grep_file on the page; comparison uses direct SQL group-by queries on the geojson features whereas ideal uses json_each/read_file-style extraction; comparison computes and reports -7% change, ideal computes and reports 93 ratio output; final answer shape differs ([Ward 4; THEFT F/AUTO; -7%] vs [93])","Both trajectories follow the same source family and core data path: Brightwood -> Ward 4 -> 2020/2021 DC crime incidents -> THEFT F/AUTO counts. However, the comparison trajectory changes the final computation and output format from the ideal ratio answer to a percent-change answer, which is a meaningful operation/output mismatch rather than a trivial detour.","Comparison: L13 search Brightwood; L27-L28 peek Brightwood page; L33 search crime 2020; L47-L48 peek 2020 crime file; L53 query 2020 offense/ward counts; L83-L103 2021 crime search/peek/query; L133, L152, L182, L201 queries for Ward 4 THEFT F/AUTO and top offense; L231-L232 submit [Ward 4; THEFT F/AUTO; -7%]. Ideal: L19 search Brightwood; L33-L34 read Brightwood page; L39 search crime datasets; L53-L54 peek 2020 crime file; L59, L86, L92, L126 queries for structure and Ward 4 offense counts; L154-L160 2021 peek/query; L193-L199 plan and submit [93].",gpt-5.4-mini,complete
