task_id,log_error_bucket,estimated_wasted_turns,turn_waste_global_group,turn_waste_global_subtype,turn_waste_summary,turn_repeated_behavior,turn_progress_stop_point,wasted_turn_ranges,productive_turn_ranges,turn_budget_failure_reason,turn_waste_evidence,turn_waste_global_group_reason,turn_waste_global_subtype_reason,turn_waste_local_group,turn_waste_local_group_reason
tasks_mini/k-4-d-4/task_8.json,error_tools_limit,6,endgame overshoot,late-stage answer overshoot,"Missouri spending averages were mostly solved, then the tail was spent on duplicate count checks until the tool limit.","Repeated identical COUNT(DISTINCT ""Agency Name"") queries across years after already extracting the main spending totals.",Turn 25 computes 2007 agency totals; turns 26-31 are duplicate count checks and the final tool-limit warning.,26-31,1-25,"It had the ranking path, but instead of closing out it kept rechecking agency counts on the same datasets until the tool cap stopped it.",Turn 26 starts repeated count-distinct checks; Turn 31 triggers the 30/30 tool-limit warning,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The main spending answer was basically done, then the tail burned on duplicate count checks.",Duplicate query loops,It repeated identical count-distinct checks across years after the main spending totals were already extracted.
tasks_mini/k-7-d-3/task_6.json,error_tools_limit,2,endgame overshoot,late-stage answer overshoot,"It found the parking and moving-violations datasets, then kept inspecting the January 2019-2021 moving-violations files before submitting under pressure.",Kept opening the same moving-violations datasets after the answer path was already clear.,Had the relevant agency datasets and was still listing/peeking the moving-violations files when the tool limit was hit.,20-21,1-19,The agent spent the tail on repeated source inspection and only then forced a submit after the tool-limit warning.,Turn 20 lists and peeks moving-violations-2019/2020/2021; Turn 20 hits the tool limit and Turn 21 forces submit_answer,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The answer path was already clear, but the tail kept reopening the same moving-violations files.",Duplicate query loops,"After the relevant datasets were found, it kept inspecting the same moving-violations files again."
tasks_mini/k-5-d-3/task_3.json,error_tokens_reached,1,endgame overshoot,late-stage answer overshoot,"Washington contracts and Seattle building emissions were nearly solved, then the tail poked at a side article before timeout.",Kept verifying the target building and then drifted to a college article grep right before the hard stop.,Turn 18 queries the building-energy dataset by OSEBuildingID; turn 19 is the last low-yield grep before timeout.,19,1-18,"The core answer was nearly assembled, but the agent spent its last visible turn on an unrelated page check instead of submitting.",Turn 18 fetches DataYear/YearBuilt for OSEBuildingID 43; Turn 19 greps Green_River_College for County,"The answer path was essentially complete, and the remaining budget was burned on one last unnecessary step.","The path was nearly solved, then one last side check and grep consumed the tail.",Source drift and rediscovery,"The core answer was nearly assembled, but the last turn veered into an unrelated side article check."
tasks_mini/k-3-d-4/task_10.json,error_tokens_reached,4,endgame validation loop,late candidate validation loop,"Identified Texas SSO lunch counties, then checked daycare reimbursement and child-center enrollment for the candidate counties.",Drilled into the same county-level reimbursement and enrollment data instead of doing the final arithmetic.,after the county reimbursement/enrollment queries were already in hand and the final code attempt was cancelled,19-22,1-18,The run stopped spending on final filtering and started re-querying county rows and ODP records rather than computing the requested averages.,"Turn 18 runs code to compute the intersection and final selection, but it is cancelled.; Turns 19-22 switch to CAMERON/HIDALGO row-level queries and greps.","The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.","After the county candidates were in hand, it kept checking reimbursement and enrollment details instead of closing.",Duplicate query loops,"The county-level reimbursement and enrollment data were already in hand, but the tail kept drilling the same tables."
tasks_mini/k-6-d-3/task_5.json,error_tokens_reached,2,endgame validation loop,late candidate validation loop,"Computed prison-release CV rankings, then spent the tail on extra county validation instead of moving to the county-seat and crime steps.",Repeated validation code on the same release tables after the CV ranking was already known.,"After the CV ranking, it kept rechecking county details instead of moving to the next step.",14-15,1-13,It used the tail for validation checks after the useful ranking was already computed.,Turn 14 rechecks Concho counts after the ranking output is already printed; Turn 15 switches to release-date range checks instead of advancing to the county-seat step,"The answer was already narrowed, but the run kept validating candidates or edge cases instead of submitting.","After the CV ranking was known, it kept doing extra county validation before the next step.",Duplicate query loops,"After the CV ranking was known, it spent the tail on extra validation against the same release tables."
tasks_mini/k-6-d-4/task_8.json,error_tokens_reached,1,mixed or unclear,mixed or unclear,"It identified the GRE owner and New Jersey city path, then was still checking the school-district-office source when the run hit max tokens.",No clear repetition; it was still narrowing the city/county filter.,"Had the GRE org source and the relevant school-location datasets, but crashed while probing the school-district-office file.",22,1-21,"The tail ended on one more school-location probe before the max-token crash, so the answer was never fully assembled.",Turn 21 peeks school-district-office-locations-2021-22; Turn 22 crashes with MaxTokensReachedException,The visible evidence does not support a confident dominant waste pattern.,"The summary shows narrowing on the school-location path, but no strong repeat loop was visible.",NCES school-location spiral,"It was still probing school-location files when the max-token stop landed, after repeated source inspection."
tasks_mini/k-2-d-3/task_2.json,error_tokens_reached,0,mixed or unclear,mixed or unclear,"Looked up Washington and agency-contract datasets, then crashed before any college ranking was established.",No clear repeated loop visible before the crash.,after peeking Washington state and the 2014-2016 contract files,,1-6,"The run ended while still in broad dataset discovery, before a college-count computation or ranking.",Turn 4 searches Washington/contracts; turn 6 peeks the state page and three contract files.; Turn 7 ends in MaxTokensReachedException.,The visible evidence does not support a confident dominant waste pattern.,Crashed before a clear waste pattern emerged; summary says no repeated loop and no final answer path.,On-track token cap,It was still in broad dataset discovery and hit the token cap before any repeated waste pattern appeared.
tasks_mini/k-3-d-1/task_1.json,error_tokens_reached,0,mixed or unclear,mixed or unclear,"Narrowed Austin APD search and dispatch data, identified the top sector, and computed the council-district counts.",No clear repeated loop visible before the crash.,after the execute_code step printed the top council districts for sector Charlie,,1-13,It exhausted tokens before mapping the final district back to taser incidents and Austin's incorporation-year calculation.,Turn 13 computes the top council districts for Charlie in 2023.; Turn 14 is just the max-tokens crash.,The visible evidence does not support a confident dominant waste pattern.,Summary shows no clear repeated loop before the crash.,On-track token cap,The run was still on the intended Austin/APD path and exhausted tokens before the final mapping step.
tasks_mini/k-3-d-4/task_3.json,error_tokens_reached,0,mixed or unclear,mixed or unclear,"NYC school progress report hunt to identify a school neighborhood and museum year, then tokens ran out.",Stayed on the intended lookup path; no clear loop before the crash.,Turn 20 reads American_Museum_of_Natural_History; turn 21 is the max-token crash.,,1-20,"It was still following the right trail, but the run hit the token cap before the final year could be extracted.",Turn 16 searches Upper West Side museums; Turn 20 reads American_Museum_of_Natural_History,The visible evidence does not support a confident dominant waste pattern.,No clear loop was visible; the run mainly ended from token exhaustion.,On-track token cap,It stayed on the intended NYC school path and simply ran out of budget before the final extraction.
tasks_mini/k-4-d-4/task_1.json,error_tokens_reached,0,mixed or unclear,mixed or unclear,NYC school progress report lookup reached the target school article but timed out before the final school-day extraction.,No obvious loop; the tail is still on the intended Bedford-school path.,Turn 13 reads John_Wayne_Elementary_School; turn 14 hits the max-token crash.,,1-13,It appears to have been on the right target but simply ran out of budget before producing the final date.,Turn 12 queries the Bedford school locations; Turn 13 opens John_Wayne_Elementary_School,The visible evidence does not support a confident dominant waste pattern.,The run stayed on the intended path and mostly just hit the token limit.,On-track token cap,The run was still on the Bedford-school lookup trail and hit the token cap before the final date extraction.
