task_id,estimated_dataset_count,estimated_min_tool_calls,estimated_nice_tool_calls,tool_call_budget_bucket,quality_bucket,derivability_bucket,difficulty_bucket,overall_recommendation,issue_labels,heuristic_flags,rationale,suggested_fix
tasks_core/k-1-d-1/task_1.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"The question, node, and reasoning hop are internally consistent and the decomposition is completely natural: group beneficiaries by year and pick the maximum total. The task is comfortably within budget, but it is so direct and shallow that it fits better as a non-core item than as a benchmark core challenge.","Keep it as non-core, or replace it with a less direct multi-step aggregation if you want it in core."
tasks_core/k-1-d-1/task_2.json,1,2,3,within_budget_comfortably,high,clean,core,core_keep,,has_explicit_answer_placeholders,"This is a single-source, fully specified calculation task: aggregate yearly overdose deaths, compute year-over-year growth, then compare the resulting scores across 2016-2023. The path is direct and internally consistent, and the budget is comfortably under the 30-call threshold. The only rough edge is the placeholder-style answer formatting, which is minor.",Consider removing the `[Answer]` placeholder for cleaner prompt text.
tasks_core/k-1-d-1/task_3.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"The task is internally coherent and the final question cleanly motivates the yearly aggregation and comparison path. The budget is trivial for the 30-call cap, but the problem looks more like a straightforward one-source computation than a strong core benchmark item, so it is better kept outside the core slice.","Keep it as non-core, or add an extra filtering/comparison hop to increase signal."
tasks_core/k-1-d-1/task_4.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"The task is internally consistent, the question naturally motivates a yearly aggregation, and the node chain matches that path without leakage or contradiction. It is also very lightweight: one dataset and one straightforward groupby-style computation make it easy to derive but not especially valuable for a reduced core benchmark.",No change needed.
tasks_core/k-1-d-1/task_5.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"The task is internally coherent and directly derivable from the question: one dataset, one annual aggregation pass, and one derived comparison across 2006-2010. The budget is trivial, but that same compactness makes it better suited to a non-core arithmetic set than to a core benchmark slice.",No change needed if it stays non-core; otherwise add another dependent hop to increase benchmark depth.
tasks_core/k-1-d-1/task_6.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"The artifact is internally coherent and the node cleanly supports the question: filter to homicide injury deaths for all ages, both sexes, and all races, then compare yearly totals from 2005 to 2010. The main drawback is benchmark economics, not quality: this is a straightforward one-dataset aggregation that likely belongs outside the reduced core slice.","No change needed for noncore use; to qualify for core, add a second comparison or narrowing hop."
tasks_core/k-1-d-1/task_7.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"This task is internally coherent and easy to derive from the question: filter 2005-2010, sum murders by year, and take the maximum. The artifact does not show unsupported narrowing, leakage, or a weak final hop. Its main weakness is not quality but benchmark value, since the task is a single-hop aggregation over one dataset and therefore better suited to a non-core slice than a core difficulty target.","Keep as non-core, or increase complexity with an additional justified comparison or filtering hop."
tasks_core/k-1-d-1/task_8.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"This task is internally coherent and easy to derive from the question alone: filter draws from 2005 through 2010, compute yearly average Mega Ball values, and take the minimum. The budget is trivial with one dataset and one direct aggregation step. The main weakness is not quality but benchmark value: it is a very short, single-hop tabular computation, so it fits better as non-core than as a core task.","Keep as non-core, or raise difficulty by adding a justified comparison or second dataset-backed hop."
tasks_core/k-1-d-1/task_9.json,1,2,3,within_budget_comfortably,high,clean,too_easy,keep_noncore,,has_explicit_answer_placeholders,"The artifact is internally consistent and directly derivable from the question: filter one dataset to the MTA `Total Ridership` indicator, sum `Monthly Actual` by year for 2008-2010, and select the maximum. The target is explicit, the reasoning chain matches the question, and the budget is trivial. The main limitation is not quality but depth: this is essentially a direct grouped lookup, so it is better suited for noncore use than for a core benchmark slice.","Keep it as noncore, or add a second justified comparison hop if core difficulty is required."
tasks_core/k-2-d-2/task_1.json,3,6,9,within_budget_comfortably,medium,clean,core,keep_noncore,question_ambiguity,has_explicit_answer_placeholders,"This task is affordable and mostly well structured: the question naturally implies identifying the northernmost borough, then computing one complaint aggregate and one shooting aggregate for 2023 before taking a ratio. The main weakness is target phrasing. The prompt names a 'shooting/complaint ratio' but explicitly defines complaints divided by shootings, so the numerator/denominator direction is not stated cleanly enough for a core benchmark item even though the intended path is still recoverable.","Rename the target to 'complaint/shooting ratio' or invert the formula so the label and computation match, and tighten the wording to 'the northernmost borough'."
tasks_core/k-2-d-3/task_1.json,4,8,12,within_budget_comfortably,low,broken,unclear,revise_or_drop,internal_inconsistency,has_explicit_answer_placeholders,"The artifact is affordable and the node 1 to node 3 bridge is naturally motivated by the question, but two of the three comparison branches are not implemented as asked. The question and subquestions ask for counts of incidents where an officer applies weapon, while the recorded reasoning for nodes 2 and 4 only groups all 2022 records by division or council district with no visible weapon filter. That makes the task internally inconsistent and not a faithful decomposition, even if the final max may still remain 5021 because node 3 is much larger.","Either remove the weapon-application wording from branches 1 and 3, or add explicit weapon filters to nodes 2 and 4."
tasks_core/k-3-d-1/task_1.json,3,6,9,within_budget_comfortably,medium,clean,core,keep_noncore,question_ambiguity,has_explicit_answer_placeholders,"This task has a clear and efficient structure: find the 2016 robbery-arrest leader by area, identify the dominant offense type for that area, then count its 2022 incidents. The main weakness is not the hop design but the field definition in the prompt versus the nodes, since the question says crime code while the reasoning uses Crm Cd Desc. That makes the artifact usable but not clean enough for a core slice without a wording or field-alignment fix.",Align the prompt and nodes by either asking for the most common crime description or switching nodes 2-3 to the actual crime-code field.
tasks_core/k-3-d-1/task_2.json,3,6,9,within_budget_comfortably,high,clean,core,core_keep,,has_explicit_answer_placeholders,"This task is internally coherent and the reasoning chain closely matches the question: identify the top destination by seats, map its airport code to a city/state, then choose the ZIP code with the largest land area in that city/state. The hops are short, interpretable, and affordable, with no obvious answer leakage beyond the normal node-by-node decomposition and no unsupported narrowing.",No major fix needed; optionally clarify that the last hop uses exact city/state matching in the ZIP dataset.
tasks_core/k-3-d-2/task_1.json,4,8,12,within_budget_comfortably,medium,clean,core,keep_noncore,awkward_wording|format_noise,question_text_anomaly|has_explicit_answer_placeholders,"The task is structurally coherent and the decomposition is easy to derive from the question: filter Idaho counties in 2023, intersect with the 2019 filter, identify the largest city in the surviving county, then read that city's 2020 census population. The budget is comfortably within range and there is no obvious answer-path leakage or unsupported central hop. The main weakness is prompt quality rather than task logic: the wording is rough, the punctuation is malformed, and the answer-format placeholder makes the artifact feel noisy rather than core-ready.",Rewrite the question to remove the '?.' and placeholder boilerplate and state explicitly that the target is the 2020 census population of the largest city in the qualifying Idaho county.
tasks_core/k-3-d-2/task_10.json,4,8,12,within_budget_comfortably,low,broken,unclear,revise_or_drop,unsupported_step|answer_path_leakage,has_explicit_answer_placeholders,"The district-10, top-6, and average-additional-credit path is coherent and comfortably within budget, but the task breaks at hop 2. Node 3 already hard-codes Bronx High School of Science in the source title, which leaks the hop-1 survivor, and the provided fact only shows that Marvin Minsky won a Turing Award, not that he was the first such alumnus. Because a central narrowing is both leaked and unsupported, the task is not reliable enough for core use as written.",Replace node 3 with a school-agnostic alumni/Turing comparison that derives the first recipient by award year without naming the winning school in advance.
tasks_core/k-3-d-2/task_11.json,4,8,12,within_budget_comfortably,low,broken,unclear,revise_or_drop,internal_inconsistency,has_explicit_answer_placeholders,"This task is affordable, but it is not internally reliable. The question explicitly asks for county-level public school and district office counts, while nodes 3 and 4 compute city-level counts constrained to Sacramento. That is a direct mismatch between the stated target and the executed reasoning path, so the task is low quality and broken for derivability even though the overall structure is short and otherwise straightforward.","Rewrite nodes 3 and 4 to count all records in Sacramento County for 2022-2023 without filtering by city, or revise the question to ask about the capital city rather than its county."
tasks_core/k-3-d-2/task_12.json,4,8,12,within_budget_comfortably,low,broken,unclear,revise_or_drop,internal_inconsistency,has_explicit_answer_placeholders,"The budget is comfortable, but the task does not match its own question. The question asks for the number of private schools and district administrative offices in the CBSA of the headquarters city, while nodes 3 and 4 both filter to `CITY = Denver` and therefore compute city-level counts inside that CBSA, not CBSA-wide totals. That direct scope mismatch makes the reasoning chain internally inconsistent and the answer path broken as written.","Remove the `CITY` filter from nodes 3 and 4 so both counts are CBSA-wide, or rewrite the question to ask for city-level counts."
tasks_core/k-3-d-2/task_13.json,4,8,12,within_budget_comfortably,low,broken,unclear,revise_or_drop,internal_inconsistency,has_explicit_answer_placeholders,"This task is affordable on paper, but it does not faithfully answer its own question. The prompt asks for public schools and postsecondary institutions in the county of the headquarters city, while nodes 3 and 4 count institutions located in the city itself. That direct mismatch makes the reasoning chain internally inconsistent with the stated target, so the task is broken as written.","Count 2022-2023 public and postsecondary records at the Leon County level directly, or rewrite the question to ask about the city rather than the county."
