model_variant,mode_variant,source_file,answer_failure_figure_group,task_id,event_index,answer_failure_type,answer_failure_subtype,failure_stage,failure_summary,failure_evidence,confidence,eval_path,events_path,row_validation_status,row_model_validation_status
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-1/task_1.json,2,computation_or_aggregation_error,off-by-one threshold selection,finalization,"The submitted answer was [916], and the final reasoning says it came from a 2020 threshold of 915 and a 2021 count of 916.","Turn 33 | submit_answer({""answer"": ""[916]"", ""reasoning"": ""... 2020 incident count ... 915; ... 2021 ... 916.""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-3-d-4/task_7.json,1,extraction_or_parsing_error,confused museum establishment year with first-purpose-built-structure year,extraction,The model used the American Museum of Natural History page but answered 1877 after conflating the museum's first purpose-built structure year with the museum's establishment year 1869.,"Turn 11 | Tool result: {""dataset_id"": ""American_Museum_of_Natural_History"", ""file_path"": ""content.txt"", ""truncated"": true, ""lines"": [""The American Museum of Natural History ... museum opened within Central Park's Arsenal on May 22, 1871. The museum's first purpose-built structure in Theodore Roosevelt Park was designed by Calvert Vaux and J. Wrey Mould and ...""]}; Turn 12 | Model response #12 [role=assistant block=1 tool_use] submit_answer({""answer"": ""[1877]"", ""reasoning"": ""... the notable museum adjacent to Central Park ... is the American Museum of Natural History; its first purpose-built structure opened (was built) in 1877.""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid_with_warnings,repaired_pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-5-d-4/task_7.json,1,extraction_or_parsing_error,wrong enrollment value from correct Pullman row,extraction,"The agent reached the correct enrollment dataset and was looking at Pullman School District rows, but it submitted 3,216 as the 2017-18 enrollment value.","Turn 24 | ... grep_file({""dataset_id"": ""report-card-enrollment-2017-18-school-year"", ""file_path"": ""files/rows.txt"", ""regex_pattern"": ""Pullman"", ""context_lines"": 2}) ... ""match_count"": 21 ... ""line_number"": 4006, ""line"": ""2017-18,District,Whitman,Educational Service District 101,100001,38267,Pullman School District,100206,,District Total,NULL,,10th Grade,...""; Turn 33 | submit_answer({""answer"": ""[3216]"", ""reasoning"": ""... Pullman School District total enrollment for 2017-18 ... is 3,216 ...""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-5-d-3/task_12.json,1,extraction_or_parsing_error,wrong_year_source,source_selection,The model used the Seattle building-energy dataset's YearBuilt value of 1992 for BOEING PLANT 2 ISAL instead of the Wikipedia source year 1936 for Boeing Plant 2.,"Turn 26 | query_ideal SQL: SELECT ""OSEBuildingID"",""BuildingName"",""Address"",""YearBuilt"", AVG(CAST(""TotalGHGEmissions"" AS double)) AS avg_ghg FROM t WHERE upper(""City"")='SEATTLE' AND ""DataYear"" BETWEEN 2015 AND 2023 GROUP BY ""OSEBuildingID"",""BuildingName"",""Address"",""YearBuilt"" ORDER BY avg_ghg DESC LIMIT 1; Turn 30 | execute_ideal output: {'avg_ghg': 20400.1, 'OSEBuildingID': '43', 'BuildingName': 'BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus', 'YearBuilt': '1992', 'observations': 1}; Turn 32 | submitted answer: [1992].",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,repaired_pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-3/task_2.json,2,wrong_scope_or_filter,Bedford Village-only VADIR checks,computation,"The VADIR lookups were also centered on Bedford Village only, with no evidence in the log of a cross-school comparison over all eligible schools before the final selection.","Turn 27 | Model response #27 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""2009-2010-vadir-incidents"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT \""School Year\"", \""BEDS Code\"", \""School Name\"", \""Enrollment\"", \""Other Disruptive\"" FROM t WHERE \""BEDS Code\"" = '331300010003' OR LOWER(\""School Name\"") LIKE '%bedford village%';"", ""intent"": ""Get VADIR incident counts for PS 3 The Bedford Village for 2009-2010, including Other Disruptive to exclude later.""}); Turn 29 | Model response #29 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""2009-2010-vadir-incidents"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT \""School Year\"", \""BEDS Code\"", \""School Name\"", \""Enrollment\"", \""Robbery Without Weapon(s)\"", \""Assault with Physical Injury Without Weapon(s)\"", \""Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)\"", \""Minor Altercations Without Weapon(s)\"", \""Larceny, or Other Theft Without Weapon(s)\"", \""Bomb Threat\"", \""False Alarm\"", \""Riot Without Weapon(s)\"", \""Weapon PossessionUnder Other Circumstances\"", \""Drug Possession\"", \""Alcohol Possession\"" FROM t WHERE \""BEDS Code\"" = '331300010003' OR LOWER(\""School Name\"") LIKE '%bedford village%';"", ""intent"": ""Get non-'Other Disruptive' violent incident categories for PS 3 2009-2010 to compute totals excluding Other Disruptive.""}); Turn 30 | Model response #30 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""2009-2010-vadir-incidents"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT * FROM t WHERE \""BEDS Code\"" = '331300010003' LIMIT 1;"", ""intent"": ""Inspect full VADIR row for PS 3 to know column names and values for 2009-2010""})",medium,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-3/task_2.json,1,wrong_scope_or_filter,K003-only class-size checks,computation,The class-size verification was run as repeated single-school queries against K003 / P.S. 003 The Bedford Village.,"Turn 19 | Model response #19 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""2008-09-class-size-school-level-detail"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT \""BORO\"", \""CSD\"", \""SCHOOL CODE\"", \""SCHOOL NAME\"", \""GRADE\"", \""PROGRAM TYPE\"", \""SERVICE CATEGORY(K-9* ONLY)\"", \""NUMBER OF CLASSES\"", \""TOTAL REGISTER\"", \""AVERAGE CLASS SIZE\"" FROM t WHERE \""SCHOOL CODE\"" = 'K003' AND LOWER(\""PROGRAM TYPE\"") LIKE '%spec%';"", ""intent"": ""Find 2008-09 special education entries for school code K003 (P.S. 003 The Bedford Village) and check average class size for kindergarten""}); Turn 22 | Model response #22 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""2010-2011-class-size-school-level-detail"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT \""CSD\"", \""BOROUGH\"", \""SCHOOL CODE\"", \""SCHOOL NAME\"", \""GRADE\"", \""PROGRAM TYPE\"", \""SERVICE CATEGORY(K-9* ONLY)\"", \""NUMBER OF STUDENTS / SEATS FILLED\"", \""NUMBER OF SECTIONS\"", \""AVERAGE CLASS SIZE\"" FROM t WHERE \""SCHOOL CODE\"" = 'K003' AND LOWER(\""PROGRAM TYPE\"") LIKE '%spec%';"", ""intent"": ""Find 2010-11 special education entries for school code K003 and check average class size for kindergarten""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-4-d-1/task_3.json,1,wrong_scope_or_filter,added precinct=44 filter to the final 2022 Bronx INSIDE count,task_understanding,The final 2022 shooting count was computed with an explicit precinct=44 filter and returned 12.,"Turn 16 | ... query_ideal semantic judge found no equivalent record reason='No authored candidate matches. Candidate node 4 counts 2022 Bronx shooting incidents with LOC_OF_OCCUR_DESC='INSIDE' but does not include precinct=44; candidate node 2 addresses a different year/metric (most incidents by precinct in 2021). Therefore the submitted query with PRECINCT=44 is not semantically equivalent to any authored computation.'; intent_matches=False ...; Turn 16 | ... submit_repaired_sql({""sql"": ""SELECT COUNT(*) AS cnt\nFROM t\nWHERE EXTRACT(year FROM TRY_CAST(\""OCCUR_DATE\"" AS DATE)) = 2022\n AND upper(trim(CAST(\""BORO\"" AS VARCHAR))) = 'BRONX'\n AND TRY_CAST(\""PRECINCT\"" AS DOUBLE) = 44\n AND upper(trim(CAST(\""LOC_OF_OCCUR_DESC\"" AS VARCHAR))) = 'INSIDE';"", ""reason"": ""Repair uses robust casting/normalization from the plan payload while adding the requested precinct 44 filter to match the user's intent exactly.""}) ... Tool result: {""columns"": [""cnt""], ""rows"": [[12]], ""row_count"": 1, ""truncated"": false}",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-6-d-3/task_3.json,1,wrong_scope_or_filter,anchored on Harold Washington Library Center and the Loop instead of Sulzer Regional Library and Lincoln Square,finalization,The run anchored its final justification on Harold Washington Library Center and mapped that branch to the Loop community area before submitting [54013].,"Turn 33 | submit_answer({""answer"": ""[54013]"", ""reasoning"": ""Harold Washington Library Center was the only branch in the top lists for circulation (top5), visitors (top5), and computer sessions (top3) in 2019–2021; it is in the Loop community area. I used the Chicago community-area socioeconomic dataset to obtain the per-capita income for that community area (2008–2012 ACS).""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-3-d-2/task_5.json,1,wrong_scope_or_filter,county_instead_of_city_scope,task_understanding,"The run did not settle on the task's city-specific public-school count. After an unmatched query, it moved to parsing public-school placemarks grouped by county, state FIPS, and school year.","Turn 6 | Model response #1 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""public-school-locations-current-23297"", ""file_path"": ""files/data.txt"", ""sql"": ""SELECT COUNT(*) as cnt FROM t WHERE \""STFIP\"" = '06' AND \""NMCNTY\"" = 'Sacramento County' AND \""SCHOOLYEAR\"" = '2022-23'"", ""intent"": ""Count public schools in Sacramento County CA for 2022-23""}) ... semantic judge: no equivalent record; authored record counts schools for city='SACRAMENTO' and NMCNTY='SACRAMENTO COUNTY' with SCHOOLYEAR='2022-2023'.; Turn 7 | Model response #7 [role=assistant block=1 tool_use] parse_xml_records({""dataset_id"": ""public-school-locations-current-23297"", ""file_path"": ""files/data.txt"", ""record_tag"": ""Placemark"", ""fields"": [""NMCNTY"", ""STFIP"", ""SCHOOLYEAR""], ""group_by"": [""NMCNTY"", ""STFIP"", ""SCHOOLYEAR""], ""limit"": 200, ""intent"": ""Group count of placemarks by county, state FIPS, and schoolyear to get Sacramento County 2022-23 count""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
openai_gpt-5-mini,search_d_results_i_plani_computei_k5_skills_off,modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,Execution/computation failures,tasks_mini/k-3-d-1/task_1.json,2,wrong_scope_or_filter,current-year-to-date complaints dataset pivot,source_selection,"After the initial blockage, the run switched to the current-year-to-date complaints dataset instead of staying on the historic complaints dataset required by the task plan.","Turn 27 | Model response #27 [role=assistant block=1 tool_use] query_ideal({""dataset_id"": ""nypd-complaint-data-current-year-to-date"", ""file_path"": ""files/rows.txt"", ""sql"": ""SELECT \""OFNS_DESC\"" AS offense, COUNT(*) AS cnt\nFROM t\nWHERE \""BORO_NM\"" = 'BRONX' AND \""CMPLNT_FR_DT\"" >= '2023-01-01' AND \""CMPLNT_FR_DT\"" <= '2023-12-31'\nGROUP BY \""OFNS_DESC\""\nORDER BY cnt DESC\nLIMIT 1;"", ""intent"": ""Find most common complaint offense and its count in Bronx in 2023 in current-year-to-date complaints dataset""})",high,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/eval_results.csv,results_semantic_answer_failures/modes/openai_gpt-5-mini/search_d_results_i_plani_computei_k5_skills_off/answer_failure_events.csv,valid,pass
